partner,epithelial_axis,ligand,receptor,p_value,median_MPR_arm,median_NMPR_arm,n_MPR,n_NMPR,p_adj
Resident M2,normal,MDK,SDC3,0.350965124,0.702785939,0.585248491,419,1144,0.39857474
Resident M2,normal,SPINT1,ST14,0.402434939,0.451875588,0.605597932,419,1144,0.455087318
Resident M2,normal,DLL1,NOTCH3,0.471362136,0,0,419,1144,0.5322797
Resident M2,normal,MDK,LRP1,0.563773624,0.646923988,1.02475156,419,1144,0.635064473
Resident M2,normal,C3,CD81,0.777472431,3.718962919,2.990036148,419,1144,0.86874802
Resident M2,tumor,CXCL8,SDC1,1,1.919245623,2.80942934,338,313,1
Resident M2,normal,SLPI,PLSCR1,0.985542816,2.962379494,1.632163959,419,1144,1
Resident M2,tumor,FAM3C,LAMP1,1,1.83291936,1.83036789,338,313,1
Resident M2,tumor,ADAM9,ITGA6,1,0.477842059,0.308359059,338,313,1
Resident M2,tumor,ANXA1,FPR2_FPR3,1,1.73299538,0.646985375,338,313,1
Resident M2,normal,CALM3,EGFR,0.997717165,0.680672133,0.551121322,419,1144,1
Resident M2,tumor,LCN2,FCGR2A,1,0.8603811,0.865472166,338,313,1
Resident M2,tumor,HSPA4,TLR4,1,0.472123776,0.604048816,338,313,1
Resident M2,tumor,EDN1,EDNRB,,0,0,338,313,
SPP1+ immunosuppressive,normal,ALCAM,NRP1,1.14E-201,0.966927118,0.588892644,419,1096,1.82E-198
SPP1+ immunosuppressive,normal,CLEC11A,ITGB1,2.62E-176,0.202894625,0.446048617,419,1096,4.66E-174
SPP1+ immunosuppressive,normal,F13A1,ITGB1,5.19E-139,1.111964114,2.095038222,419,1096,4.61E-137
SPP1+ immunosuppressive,normal,LAMB3,CD44,2.60E-119,0.140422654,0.496578286,419,1096,1.09E-117
SPP1+ immunosuppressive,tumor,COL3A1,DDR1,1.31E-106,0,0.069771777,338,144,1.07E-105
SPP1+ immunosuppressive,tumor,GPC3,FLT1,1.31E-106,0,0.003575585,338,144,1.07E-105
SPP1+ immunosuppressive,tumor,SPP1,CD44,1.31E-106,0,1.780566259,338,144,1.07E-105
SPP1+ immunosuppressive,tumor,SPP1,ITGAV_ITGB5,1.31E-106,0,0.457072536,338,144,1.07E-105
SPP1+ immunosuppressive,tumor,WNT5A,VANGL2,1.31E-106,0,0.026183358,338,144,1.07E-105
SPP1+ immunosuppressive,normal,TFPI,LRP1,4.87E-92,0.415808299,0.762397091,419,1096,3.54E-91
SPP1+ immunosuppressive,normal,CX3CL1,CX3CR1,3.86E-90,0.124542365,0,419,1096,2.79E-89
SPP1+ immunosuppressive,normal,IL6,F3,3.00E-85,0.008960891,0.178293317,419,1096,2.11E-84
SPP1+ immunosuppressive,normal,SAA1,TLR2,1.81E-77,0.147684332,0.254169097,419,1096,9.71E-77
SPP1+ immunosuppressive,tumor,COL4A6,CD93,4.36E-76,0.001996427,0.049366576,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,COL1A2,SDC1,4.36E-76,0.273866953,0.212009223,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,PGF,NRP1,4.36E-76,0.330399184,0.184715594,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,GPC3,CD81,4.36E-76,1.78274195,0.116551736,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,IL1A,IL1R2_IL1RAP,4.36E-76,0.071066172,0.01020049,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,COL1A1,SDC1,4.36E-76,0.254342528,0.707488968,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,F13A1,ITGB1,4.36E-76,1.970094498,2.460801811,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,PLAU,VLDLR,4.36E-76,0.409582306,0.129725819,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,IGF1,IGF1R,4.36E-76,0.170994766,0.079355752,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,IL1B,IL1R2_IL1RAP,4.36E-76,0.390473651,0.100936108,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,S100A4,EGFR,4.36E-76,0.293489632,0.717949959,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,MDK,SDC3,4.36E-76,1.35940932,1.726194205,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,BMP7,ENG,4.36E-76,0.011957028,0.301011008,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,GPC3,LRP1,4.36E-76,0.878589478,0.057067092,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,COL1A1,DDR1,4.36E-76,0.035326729,0.398443132,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,RPS19,C5AR1,4.36E-76,6.076876219,8.771621225,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,HGF,SDC1,4.36E-76,1.156227497,0.386141107,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,B2M,TFRC,4.36E-76,11.24943745,12.05897552,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,TNF,CELSR2,4.36E-76,0.158725115,0.012608368,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,HBEGF,CD9,4.36E-76,2.255216628,4.520477699,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,APOE,LDLR,4.36E-76,1.723184662,2.144968337,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,F11R,ITGAL_ITGB2,4.36E-76,1.716757398,1.14318573,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,SERPINE1,PLAUR,4.36E-76,0.027430369,1.665282721,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,HMGB1,SDC1,4.36E-76,2.477590849,1.551676795,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,MDK,ITGA4_ITGB1,4.36E-76,0.737474265,0.990284461,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,MDK,LRP1,4.36E-76,0.834401336,1.192587155,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,COL1A2,ITGAV_ITGB8,4.36E-76,0.077004903,0.02274036,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,ADAM23,ITGA5,4.36E-76,0.098806808,0.204872358,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,TNF,TNFRSF21,4.36E-76,0.319882642,0.015477038,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,BMP7,ACTR2,4.36E-76,0.076386564,1.068253803,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,HSP90B1,TLR7,4.36E-76,1.793439119,0.563210695,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,SLPI,CD4,4.36E-76,0.165409603,1.627027918,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,MDK,ITGA6_ITGB1,4.36E-76,0.483125892,0.707833532,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,VEGFA,EGFR,4.36E-76,0.076808842,0.746142188,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,C3,CD46,4.36E-76,0.910815241,0.050560572,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,PLAU,ITGB5,4.36E-76,0.204835026,0.553927999,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,FAM3C,LAMP1,4.36E-76,1.266569583,2.159248279,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,HBEGF,EGFR_ERBB2,4.36E-76,0.241570268,0.576752741,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,NTS,SORT1,4.36E-76,0.084643862,0.301295787,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,APOE,VLDLR,4.36E-76,0.869344758,0.255760942,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,PLAU,ITGB1,4.36E-76,1.016347391,1.841406996,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,TNFSF13B,TFRC,4.36E-76,2.032969271,2.518621178,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,COL1A1,CD44,4.36E-76,0.047448874,0.367385113,338,144,2.03E-75
SPP1+ immunosuppressive,tumor,PLAU,ST14,4.36E-76,0.04574637,0.498869242,338,144,2.03E-75
SPP1+ immunosuppressive,normal,SEMA3E,NRP1,3.50E-72,0.167201492,0.030141685,419,1096,1.59E-71
SPP1+ immunosuppressive,normal,SFTPD,LY96,1.29E-70,0.796973171,0.066941993,419,1096,5.79E-70
SPP1+ immunosuppressive,normal,LGALS3BP,CD33,1.51E-67,0.89441449,0.598768107,419,1096,6.68E-67
SPP1+ immunosuppressive,normal,CP,SLC40A1,1.01E-63,1.723951295,0.73511104,419,1096,4.38E-63
SPP1+ immunosuppressive,normal,PLAU,ITGB1,1.32E-60,0.919686574,1.567707737,419,1096,5.70E-60
SPP1+ immunosuppressive,normal,CXCL8,SDC1,2.49E-60,0.958376575,2.419839155,419,1096,1.07E-59
SPP1+ immunosuppressive,normal,HSP90B1,TLR7,5.77E-58,1.681930582,0.772024272,419,1096,2.46E-57
SPP1+ immunosuppressive,normal,HSP90AA1,CFTR,4.15E-56,0.792191715,0.161271444,419,1096,1.73E-55
SPP1+ immunosuppressive,normal,ANGPTL4,SDC3,1.89E-50,0,0.09790518,419,1096,7.55E-50
SPP1+ immunosuppressive,normal,SFTPD,TLR4,2.21E-49,0.592053758,0.130932276,419,1096,8.79E-49
SPP1+ immunosuppressive,normal,COL1A2,SDC1,1.61E-46,0.115867429,0.038567452,419,1096,5.94E-46
SPP1+ immunosuppressive,normal,COL4A5,CD93,8.41E-44,0.066656879,0.060816063,419,1096,2.93E-43
SPP1+ immunosuppressive,normal,PTGS2,CAV1,2.28E-39,0.48028583,0.164952006,419,1096,7.59E-39
SPP1+ immunosuppressive,normal,PLAU,ST14,4.47E-39,0.301155612,0.401229987,419,1096,1.48E-38
SPP1+ immunosuppressive,normal,SPP1,ITGAV_ITGB6,1.32E-37,0.203150376,0.673899734,419,1096,4.34E-37
SPP1+ immunosuppressive,normal,IGF1,ITGA6_ITGB4,7.86E-31,0.06448451,0.103859653,419,1096,1.82E-30
SPP1+ immunosuppressive,normal,SFTPD,LAIR1,3.69E-28,1.425389769,0.155610503,419,1096,8.04E-28
SPP1+ immunosuppressive,normal,SFTPD,SIRPA,3.69E-28,1.12021673,0.090908248,419,1096,8.04E-28
SPP1+ immunosuppressive,normal,HBEGF,CD9,2.76E-26,1.500381867,0.827778538,419,1096,5.95E-26
SPP1+ immunosuppressive,normal,SCGB1A1,LMBR1L,5.13E-26,0.005285431,0,419,1096,1.10E-25
SPP1+ immunosuppressive,tumor,CX3CL1,CX3CR1,7.11E-26,0.027713179,0,338,144,1.52E-25
SPP1+ immunosuppressive,tumor,WNT5A,ANTXR1,7.11E-26,0.03010805,0,338,144,1.52E-25
SPP1+ immunosuppressive,normal,COL1A1,CD93,3.53E-23,0.066436393,0.214324416,419,1096,7.01E-23
SPP1+ immunosuppressive,normal,C3,ITGAX,4.43E-23,0.676465315,0.758503234,419,1096,8.75E-23
SPP1+ immunosuppressive,normal,CD59,STAB1,2.97E-21,1.033926216,1.522636624,419,1096,5.80E-21
SPP1+ immunosuppressive,normal,C1QB,C1QBP,2.43E-20,0.546043877,1.11409575,419,1096,4.71E-20
SPP1+ immunosuppressive,normal,SLPI,CD4,1.20E-19,6.42200336,3.45082235,419,1096,2.32E-19
SPP1+ immunosuppressive,normal,TIMP2,ITGA3,2.87E-19,0.656165157,0.691431652,419,1096,5.52E-19
SPP1+ immunosuppressive,normal,C3,LRP1,4.68E-18,0.957802574,1.093561407,419,1096,8.93E-18
SPP1+ immunosuppressive,normal,C3,C3AR1,4.73E-17,1.204195649,1.305607334,419,1096,8.91E-17
SPP1+ immunosuppressive,normal,LTF,LRP1,5.07E-16,1.072511047,0.491775271,419,1096,9.46E-16
SPP1+ immunosuppressive,normal,PLAU,ITGA3,8.87E-14,0.402605108,0.650380586,419,1096,1.62E-13
SPP1+ immunosuppressive,normal,IGFBP4,LRP6,2.65E-12,0.097217065,0.074856352,419,1096,4.65E-12
SPP1+ immunosuppressive,normal,COL4A4,CD93,5.21E-12,0.047020359,0.075801308,419,1096,9.12E-12
SPP1+ immunosuppressive,normal,C3,NRP1,1.41E-10,1.106147439,1.105016818,419,1096,2.07E-10
SPP1+ immunosuppressive,normal,HP,ITGB2,2.91E-10,0.232377358,0.133046726,419,1096,4.26E-10
SPP1+ immunosuppressive,normal,IGF1,IGF1R,4.47E-10,0.061746561,0.037967288,419,1096,6.53E-10
SPP1+ immunosuppressive,normal,ICAM1,MUC1,4.70E-09,1.547960633,1.086912592,419,1096,6.75E-09
SPP1+ immunosuppressive,normal,APOE,LRP5,4.70E-09,1.350979966,0.643987549,419,1096,6.75E-09
SPP1+ immunosuppressive,normal,VEGFA,NRP1,8.04E-09,0.543835639,0.528486005,419,1096,1.15E-08
SPP1+ immunosuppressive,normal,GNAI2,CAV1,2.27E-08,1.207624058,0.928378779,419,1096,3.24E-08
SPP1+ immunosuppressive,normal,SLPI,PLSCR1,1.16E-07,2.871193242,1.792226784,419,1096,1.62E-07
SPP1+ immunosuppressive,normal,COL4A2,CD93,2.19E-07,0.046500991,0.065505998,419,1096,3.04E-07
SPP1+ immunosuppressive,normal,SFTPA2,CD93,3.13E-07,1.215216357,0.521079328,419,1096,4.34E-07
SPP1+ immunosuppressive,normal,C3,ITGAM,4.31E-07,0.985842441,0.766869645,419,1096,5.98E-07
SPP1+ immunosuppressive,normal,LCN2,FCGR2A,5.18E-06,1.356817127,2.149075433,419,1096,6.96E-06
SPP1+ immunosuppressive,normal,HSP90AA1,ERBB2,3.14E-05,0.759258091,0.595595531,419,1096,4.16E-05
SPP1+ immunosuppressive,normal,BMP2,ACTR2,0.000207083,0.246633623,0.486371553,419,1096,0.000269208
SPP1+ immunosuppressive,normal,ICAM1,EGFR,0.000848018,0.691319022,0.529246851,419,1096,0.001090893
SPP1+ immunosuppressive,normal,SFTPA1,TLR2,0.001259209,0.676295909,1.190615857,419,1096,0.00161078
SPP1+ immunosuppressive,normal,GRN,EGFR,0.001992776,1.512026181,1.294815083,419,1096,0.002539003
SPP1+ immunosuppressive,normal,IGF1,INSR,0.002484743,0.112007897,0.081702565,419,1096,0.003158271
SPP1+ immunosuppressive,normal,S100B,AGER,0.012727499,0.055465489,0.016703085,419,1096,0.015911861
SPP1+ immunosuppressive,normal,ETV5,ERBB2,0.018465998,0.11041578,0.081317484,419,1096,0.022996208
SPP1+ immunosuppressive,normal,CD209,CEACAM1,0.023442802,0.045119472,0.091453356,419,1096,0.029148554
SPP1+ immunosuppressive,normal,S100A4,ERBB3,0.036751175,1.388146457,0.94606645,419,1096,0.045483845
SPP1+ immunosuppressive,normal,C3,CD81,0.054144992,2.875600505,2.740439457,419,1096,0.066855477
SPP1+ immunosuppressive,normal,MDK,SDC3,0.066191089,1.255584916,1.022148219,419,1096,0.0799137
SPP1+ immunosuppressive,normal,ST6GAL1,EGFR,0.076734125,0.101193122,0.185341571,419,1096,0.089105203
SPP1+ immunosuppressive,normal,HSP90AA1,EGFR,0.091586987,1.142789198,1.559838358,419,1096,0.1061984
SPP1+ immunosuppressive,normal,MDK,LRP1,0.20874761,0.881088085,0.743028399,419,1096,0.238931588
SPP1+ immunosuppressive,normal,GNAI2,EGFR,0.288067413,1.041413363,0.922772093,419,1096,0.329014138
SPP1+ immunosuppressive,normal,APOE,LSR,0.301321921,1.133888226,0.965816971,419,1096,0.343416787
SPP1+ immunosuppressive,normal,HP,CD163,0.466709263,0.222928,0.243422019,419,1096,0.527397959
SPP1+ immunosuppressive,tumor,CXCL8,SDC1,1,2.696850291,4.713850793,338,144,1
SPP1+ immunosuppressive,tumor,COL4A1,CD93,1,0.094333265,0.007822717,338,144,1
SPP1+ immunosuppressive,tumor,F12,CD93,1,0.082022109,0.050512774,338,144,1
SPP1+ immunosuppressive,tumor,FGF2,NRP1,1,0.226612862,0.085797714,338,144,1
SPP1+ immunosuppressive,tumor,COL4A5,CD93,1,0.223748024,0.16719802,338,144,1
SPP1+ immunosuppressive,tumor,CD209,CEACAM1,1,0.364642631,0.40096796,338,144,1
SPP1+ immunosuppressive,tumor,FGF2,SDC3,1,0.421857178,0.110475707,338,144,1
SPP1+ immunosuppressive,tumor,FGF2,FGFR1,1,0.020155113,0.002091098,338,144,1
SPP1+ immunosuppressive,tumor,GRN,EGFR,1,1.56261453,1.560387049,338,144,1
SPP1+ immunosuppressive,tumor,IGF1,ITGA6_ITGB4,1,0.234442358,0.238522167,338,144,1
SPP1+ immunosuppressive,tumor,GNAI2,EGFR,1,1.1356707,1.146077581,338,144,1
SPP1+ immunosuppressive,tumor,IGFBP4,FZD8,1,0.056988409,0.014619199,338,144,1
SPP1+ immunosuppressive,tumor,SEMA3F,NRP1,1,0.250217555,0.216354192,338,144,1
SPP1+ immunosuppressive,tumor,ADAM23,ITGA4,1,0.133263365,0.201356077,338,144,1
SPP1+ immunosuppressive,tumor,PDGFB,ADGRV1,1,0.042004201,0.004020219,338,144,1
SPP1+ immunosuppressive,tumor,ST6GAL1,EGFR,1,0.379986187,0.101129043,338,144,1
SPP1+ immunosuppressive,tumor,HSP90AA1,EGFR,1,1.383910228,2.004265623,338,144,1
SPP1+ immunosuppressive,tumor,WNT5A,FZD1,1,0.055410395,0.018062302,338,144,1
SPP1+ immunosuppressive,tumor,WNT5A,ADRB2,1,0.130013634,0.019511612,338,144,1
SPP1+ immunosuppressive,tumor,IGFBP4,LRP6,1,0.075824607,0.055522466,338,144,1
SPP1+ immunosuppressive,tumor,C1QB,C1QBP,1,1.149306025,1.276106695,338,144,1
SPP1+ immunosuppressive,tumor,ALCAM,NRP1,1,0.841602287,1.472204319,338,144,1
SPP1+ immunosuppressive,tumor,ANXA1,EGFR,1,0.536990526,0.97720414,338,144,1
SPP1+ immunosuppressive,tumor,ICAM1,EGFR,1,0.452811131,0.733990631,338,144,1
SPP1+ immunosuppressive,tumor,MEGF10,ABCA1,1,0.043160009,0.035686705,338,144,1
SPP1+ immunosuppressive,tumor,CXCL12,ITGA4,1,0.024621701,0.000291702,338,144,1
SPP1+ immunosuppressive,tumor,CALM2,EGFR,1,0.629616145,0.790161304,338,144,1
SPP1+ immunosuppressive,tumor,CXCL12,CD4,1,0.253359217,0.00168796,338,144,1
SPP1+ immunosuppressive,tumor,GNAI2,CAV1,1,0.621432475,0.227166361,338,144,1
SPP1+ immunosuppressive,tumor,TGFA,PTPRD,1,0.018092522,0.013311406,338,144,1
SPP1+ immunosuppressive,tumor,VEGFA,NRP1,1,1.474493621,1.441136762,338,144,1
SPP1+ immunosuppressive,tumor,LCN2,FCGR2A,1,2.233382996,1.335335897,338,144,1
SPP1+ immunosuppressive,tumor,PTGS2,CAV1,1,0.085879105,0.043258555,338,144,1
SPP1+ immunosuppressive,tumor,APOE,LSR,1,2.255020599,1.588707245,338,144,1
SPP1+ immunosuppressive,tumor,RTN4,GJB2,1,0.450279417,0.512326528,338,144,1
SPP1+ immunosuppressive,tumor,TNF,SEMA4C,1,0.021427605,0.005668345,338,144,1
SPP1+ immunosuppressive,tumor,CX3CL1,ITGAV,1,0.145377037,0.016491274,338,144,1
SPP1+ immunosuppressive,tumor,SEMA3D,NRP1_PLXNA1,1,0.013902166,0.000223075,338,144,1
SPP1+ immunosuppressive,tumor,FN1,SDC1,1,0.181898348,0.326397863,338,144,1
SPP1+ immunosuppressive,tumor,MDK,NCL,1,1.139923452,1.145932562,338,144,1
SPP1+ immunosuppressive,tumor,ADAM9,ITGA6,1,0.803450251,1.375416791,338,144,1
SPP1+ immunosuppressive,tumor,SEMA3D,NRP1_PLXNA3,1,0.015730337,0.000244097,338,144,1
SPP1+ immunosuppressive,tumor,ACTR2,LDLR,1,1.501949437,1.682502135,338,144,1
SPP1+ immunosuppressive,tumor,HSPA8,LDLR,1,1.770383066,1.51598426,338,144,1
SPP1+ immunosuppressive,tumor,ADM,GPR84,1,0.209062631,0.215202499,338,144,1
SPP1+ immunosuppressive,normal,CALM1,AQP1,0.953224754,0.665989703,0.716295921,419,1096,1
SPP1+ immunosuppressive,tumor,CALM3,EGFR,1,0.385252665,0.31332426,338,144,1
SPP1+ immunosuppressive,tumor,CXCL12,ITGAV,1,0.076659335,0.000358307,338,144,1
SPP1+ immunosuppressive,tumor,ICAM1,CAV1,1,0.247775646,0.145485771,338,144,1
SPP1+ immunosuppressive,tumor,SEMA3D,PLXND1,1,0.009774605,0.000209928,338,144,1
SPP1+ immunosuppressive,tumor,EFNB2,EPHB2,1,0.112685615,0.161741144,338,144,1
SPP1+ immunosuppressive,tumor,RGMA,HFE,1,0.166332135,0.055494221,338,144,1
SPP1+ immunosuppressive,tumor,ARF1,CHRM3,1,0.3432972,0.210576476,338,144,1
SPP1+ immunosuppressive,tumor,FGF2,CD44,1,0.169675233,0.113633069,338,144,1
SPP1+ immunosuppressive,tumor,WNT5A,FZD7,1,0.020862086,0.036880375,338,144,1
SPP1+ immunosuppressive,tumor,MAML2,NOTCH3,1,0.052721183,0.075302491,338,144,1
SPP1+ immunosuppressive,tumor,GAS6,TYRO3,1,0.172236955,0.041016676,338,144,1
SPP1+ immunosuppressive,tumor,GNAI2,S1PR5,1,0.105916739,0.071028068,338,144,1
SPP1+ immunosuppressive,tumor,COL4A2,CD93,1,0.027447263,0.010192945,338,144,1
SPP1+ immunosuppressive,tumor,FABP5,RXRA,1,0.963807665,1.008398034,338,144,1
SPP1+ immunosuppressive,tumor,PTPN6,EGFR,1,0.365395169,0.209677757,338,144,1
SPP1+ immunosuppressive,tumor,COL1A1,ITGAV_ITGB8,1,0.072564495,0.075886103,338,144,1
SPP1+ immunosuppressive,tumor,WNT5A,FZD5,1,0.035168883,0.008984898,338,144,1
SPP1+ immunosuppressive,tumor,EFNB2,PECAM1,1,0.488606376,0.520521786,338,144,1
SPP1+ immunosuppressive,tumor,TGFB1,EGFR,1,0.288190549,0.152982463,338,144,1
SPP1+ immunosuppressive,tumor,ADM,ACKR3,1,0.190979777,0.201764779,338,144,1
SPP1+ immunosuppressive,tumor,IGF1,INSR,1,0.085333048,0.056298275,338,144,1
SPP1+ immunosuppressive,tumor,GSTP1,EGFR,1,0.524398053,0.513041713,338,144,1
SPP1+ immunosuppressive,tumor,CD59,STAB1,1,0.689486015,0.734049861,338,144,1
SPP1+ immunosuppressive,tumor,RGMA,BMPR2,1,0.326257635,0.154197699,338,144,1
SPP1+ immunosuppressive,tumor,COL4A5,ITGA9_ITGB1,1,0.129638963,0.132628619,338,144,1
SPP1+ immunosuppressive,tumor,LGALS3BP,CD33,1,0.4855554,0.398655622,338,144,1
SPP1+ immunosuppressive,tumor,SAA1,TLR2,1,0.132065446,0.001780877,338,144,1
Stress-response,normal,LAMB3,CD44,2.38E-178,0.328090402,1.315491559,338,1293,4.76E-176
Stress-response,normal,TGM2,SDC4,2.38E-178,0.237262791,0.744451186,338,1293,4.76E-176
Stress-response,normal,IL6,F3,5.82E-139,0,0.126138211,338,1293,4.90E-137
Stress-response,tumor,IL1A,IL1R2_IL1RAP,2.69E-129,0,0.696016387,338,313,1.48E-127
Stress-response,tumor,PDGFB,ADGRV1,2.69E-129,0,0.129154841,338,313,1.48E-127
Stress-response,tumor,WNT5A,FZD2,2.69E-129,0,0.129154841,338,313,1.48E-127
Stress-response,tumor,MMP9,CD44,2.69E-129,0,0.223455965,338,313,1.48E-127
Stress-response,tumor,BMP7,ENG,2.69E-129,0,0.224471487,338,313,1.48E-127
Stress-response,tumor,TGFB1,EGFR,2.69E-129,0,1.244553413,338,313,1.48E-127
Stress-response,tumor,CXCL8,SDC1,4.99E-115,2.411362091,5.190182711,338,313,4.41E-114
Stress-response,tumor,SERPINE1,PLAUR,4.99E-115,0.102884888,3.156119364,338,313,4.41E-114
Stress-response,tumor,APOE,LDLR,4.99E-115,1.232407337,2.491765233,338,313,4.41E-114
Stress-response,tumor,PLAU,VLDLR,4.99E-115,0.26008669,0,338,313,4.41E-114
Stress-response,tumor,MDK,LRP1,4.99E-115,0.626458588,2.490545132,338,313,4.41E-114
Stress-response,tumor,HBEGF,EGFR_ERBB2,4.99E-115,0.057923998,1.552736583,338,313,4.41E-114
Stress-response,tumor,C1QB,C1QBP,4.99E-115,0.282793782,2.453763869,338,313,4.41E-114
Stress-response,tumor,MDK,SDC3,4.99E-115,0.497139637,3.955835501,338,313,4.41E-114
Stress-response,tumor,GSTP1,EGFR,4.99E-115,0.258192477,4.85847668,338,313,4.41E-114
Stress-response,tumor,BMP7,ACTR2,4.99E-115,0.069840426,0.685657312,338,313,4.41E-114
Stress-response,tumor,FAM3C,LAMP1,4.99E-115,1.14793295,1.859397407,338,313,4.41E-114
Stress-response,tumor,LGALS9,SLC1A5,4.99E-115,0.618103908,2.105136852,338,313,4.41E-114
Stress-response,tumor,COL4A5,CD47,4.99E-115,0.081030594,0.836168198,338,313,4.41E-114
Stress-response,tumor,APOE,VLDLR,4.99E-115,0.65218195,0,338,313,4.41E-114
Stress-response,tumor,APP,GPC1,4.99E-115,0.339159152,0.673094144,338,313,4.41E-114
Stress-response,tumor,MDK,SDC2,4.99E-115,0.378852994,2.17051936,338,313,4.41E-114
Stress-response,tumor,HBEGF,CD44,4.99E-115,0.225728085,0.872325431,338,313,4.41E-114
Stress-response,normal,PIGA,PIGR,2.51E-98,0.416174715,0.053960436,338,1293,1.91E-97
Stress-response,normal,LAMC2,CD44,3.38E-98,0.323881877,0.85207212,338,1293,2.55E-97
Stress-response,normal,LAMA3,CD44,3.38E-98,0.129133332,0.30506803,338,1293,2.55E-97
Stress-response,normal,C3,LRP1,4.12E-83,0.673514822,1.277526738,338,1293,2.25E-82
Stress-response,normal,TFPI,LRP1,4.12E-83,0.30202992,0.616933174,338,1293,2.25E-82
Stress-response,normal,VEGFA,EGFR,3.56E-80,0.802255493,0.385848989,338,1293,1.91E-79
Stress-response,normal,SFTPD,TLR4,2.41E-71,1.234366669,0.274512608,338,1293,1.09E-70
Stress-response,normal,VCAN,ITGB1,6.19E-69,0.076433621,0.74353892,338,1293,2.75E-68
Stress-response,normal,LAMA5,CD44,6.42E-62,0.417673321,0.646653287,338,1293,2.78E-61
Stress-response,normal,HSP90AA1,EGFR,3.64E-56,1.844525022,1.258958823,338,1293,1.53E-55
Stress-response,tumor,SFRP1,FZD2,1.84E-55,0,0.297771658,338,313,7.60E-55
Stress-response,tumor,WNT5A,ADRB2,1.84E-55,0,0.224471487,338,313,7.60E-55
Stress-response,normal,ICAM1,EGFR,1.93E-52,0.836922786,0.486482254,338,1293,7.84E-52
Stress-response,normal,TNF,SEMA4C,7.58E-49,0.033244413,0.103298442,338,1293,2.99E-48
Stress-response,tumor,COL4A5,CD93,8.15E-48,0.106719471,0,338,313,3.02E-47
Stress-response,tumor,COL4A1,CD93,8.15E-48,0.044993453,0,338,313,3.02E-47
Stress-response,tumor,GPC3,VSIG10L,8.15E-48,0.057029513,0,338,313,3.02E-47
Stress-response,tumor,F12,CD93,8.15E-48,0.03912149,0,338,313,3.02E-47
Stress-response,normal,SFTPD,LY96,2.20E-45,0.855674494,0.366272099,338,1293,8.04E-45
Stress-response,tumor,CXCL11,ACKR3,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,VCAN,EGFR,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,PTGS2,CAV1,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,FGF2,SDC3,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,ANG,EGFR,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,ADM,GPR84,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,VCAN,CD44,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,WNT5A,FZD1,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,BMP7,ACVR1B,2.89E-45,0,0,338,313,1.02E-44
Stress-response,tumor,NTS,SORT1,2.89E-45,0,0,338,313,1.02E-44
