source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
CD8.CM,CD8.CM,HLA-B,CD3D,0.272049896894558,26092.3333333333,0.949656657973689,2277,0.0105979635417947,26846,0.226290071434342,49154
TAM_like_MRC1,CD8.EM,GNAI2,CXCR3,0.272119951503027,20778.3333333333,0.895267640971913,14693,0.0175038770132955,14841,0.496018139905037,32801
CD8.TEX,TAM_like_M2 (SIGLEC8+/CCL18+),HLA-DQA1,CD4,0.272137028812087,23980.6666666667,0.92545205865796,7104,0.00443826506956162,51276,0.956153693714425,13562
TAM_like_stress (HSP-high/M1-like),TAM_like_SPP1,LGALS9,LRP1,0.272144840522966,20965.3333333333,0.895121677932708,14723,0.00858329611511736,32802,0.897580160950767,15371
tumor_MPR,TAM_like_lipid (CCL18+/AKR+),LAMB1,ITGAV_ITGB8,0.27216560730654,26068,0.681025169587659,59061,0.0661798594665782,2278,0.851086253246629,16865
TAM_like_regulatory (glucocorticoid-responsive),TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),SERPINE1,LRP1,0.272174325699348,18870,0.811523171668372,35356,0.0189379537367862,13563,1.20027855267178,7691
CD8.TEX,tumor_MPR,RTN4,GJB2,0.272269308387241,25715.6666666667,0.822315014340543,32807,0.0144076345908796,18624,0.635217110125301,25716
Ciliated,TAM_like_M2 (SIGLEC8+/CCL18+),COPA,CD74,0.272281314446446,21682.3333333333,0.949634735974443,2279,0.00595929224432262,43574,0.784910691453208,19194
TAM_like_M2 (SIGLEC8+/CCL18+),TAM_like_regulatory (glucocorticoid-responsive),PDGFC,PDGFRA,0.272286229095692,30278.3333333333,0.611708406141331,65765,0.0216889450761175,11504,0.956045106937937,13566
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_SPP1,S100A8,CD69,0.272319106157284,28027.6666666667,0.873755157571602,20124,0.00910058449295966,31150,0.49589854581125,32809
TAM_like_lipid (CCL18+/AKR+),TAM_like_M2 (SIGLEC8+/CCL18+),CD22,PTPRC,0.272344007319134,28257.6666666667,0.844293464290309,27510,0.0115219986146063,24453,0.495884036790955,32810
normal_MPR,TAM_like_resident_M2 (iron metabolism/anti-inflammatory),HSP90B1,TLR7,0.272443627146466,23372.6666666667,0.8867900025613,16843,0.0085793575683414,32814,0.752854794838203,20461
normal_MPR,TAM_like_MRC1,PSAP,SORT1,0.272493446168739,22212,0.910473371999545,10727,0.00857858059872515,32816,0.690106289010707,23093
