source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
Ciliated,M2-SIGLEC8+,ANXA1,FPR1,0.0668651330377477,0,0.0586591299521696,0,Both
Ciliated,MRC1+ M2-like,ANXA1,FPR1,0.0423106510145648,0,0.0437700796636442,0,Both
Ciliated,Resident M2,ANXA1,FPR1,0.11538569156656,0,0.0876818811469039,0,Both
Ciliated,SPP1+ immunosuppressive,ANXA1,FPR1,0.0507552811498684,0,0.0361362518690421,0,Both
Ciliated,IFN-stimulated,GAS6,AXL,0.00286461832389161,0,0.00180382352589436,0,Both
Ciliated,M2-SIGLEC8+,GAS6,AXL,0.00423509038116586,0,0.00339446897317825,0,Both
Ciliated,MRC1+ M2-like,GAS6,AXL,0.00422279028482705,0,0.00475064831636536,0,Both
Ciliated,SPP1+ immunosuppressive,GAS6,AXL,0.00125960881835351,0,0.0048562051397575,0,Both
Ciliated,IFN-stimulated,GAS6,MERTK,0.000948287599251409,0,0.000704031911622759,0,Both
Ciliated,M2-SIGLEC8+,GAS6,MERTK,0.00218562855592235,0,0.00354420162794254,0,Both
Ciliated,Resident M2,GAS6,MERTK,0.00120164715818026,0,0.00453846053577717,0,Both
Ciliated,SPP1+ immunosuppressive,GAS6,MERTK,0.00104084243511236,0,0.00463098900668926,0,Both
IFN-stimulated,Ciliated,GRN,SORT1,0.0361066810852096,0,0.0153941520375587,0,Both
M2-SIGLEC8+,Ciliated,GRN,SORT1,0.0390783542149894,0,0.0183543100373879,0,Both
MRC1+ M2-like,Ciliated,GRN,SORT1,0.0412481982680571,0,0.0167345106992937,0,Both
Resident M2,Ciliated,GRN,SORT1,0.0368735117603958,0,0.0176509809720805,0,Both
Ciliated,IFN-stimulated,PROS1,AXL,0.0140247147773157,0,0.00250714103949783,0,Both
Ciliated,M2-SIGLEC8+,PROS1,AXL,0.020623897326009,0,0.0047150555180878,0,Both
Ciliated,MRC1+ M2-like,PROS1,AXL,0.0205649817656108,0,0.00659535218707521,0,Both
Ciliated,SPP1+ immunosuppressive,PROS1,AXL,0.00620575925864136,0,0.00674161968114413,0,Both
Ciliated,IFN-stimulated,ANXA1,FPR3,0.108730216458999,0,0.0990921184624006,0,Both
Ciliated,M2-SIGLEC8+,ANXA1,FPR3,0.109422147050225,0,0.0838800121548163,0,Both
Ciliated,MRC1+ M2-like,ANXA1,FPR3,0.0638176977735656,0,0.0621958653472069,0,Both
Ciliated,Resident M2,ANXA1,FPR3,0.1104956570325,0,0.0795628030593137,0,Both
Ciliated,SPP1+ immunosuppressive,ANXA1,FPR3,0.0793669689450944,0,0.0901189656271762,0,Both
Ciliated,IFN-stimulated,MT-RNR2,FPR3,0.232648865880472,0,0.217193162221892,0,Both
Ciliated,M2-SIGLEC8+,MT-RNR2,FPR3,0.233922410267602,0,0.187626678276911,0,Both
Ciliated,MRC1+ M2-like,MT-RNR2,FPR3,0.144870034107084,0,0.143318306885878,0,Both
Ciliated,Resident M2,MT-RNR2,FPR3,0.23589382646698,0,0.179013147102369,0,Both
