cell_type,n_MPR,n_NMPR,median_MPR,median_NMPR,p_value,p_adj
CD8.TEX,3,9,0.676328728036804,0.960613481479728,0.6,0.6
CD8.TPEX,3,9,0,1.08666715325321,0.351835987518778,0.6
