source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
Lipid-associated,Resident M2,CCL13,CCR1,0.0541561543610317,14228.3333333333,0.857643952531973,24080,0.0205522661434126,11886,0.902621469069224,6719
Lipid-associated,Monocyte-derived,GNAI2,C5AR1,0.0541602717538572,12193.6666666667,0.94609944775089,1627,0.0101399774363748,27636,0.877373710334016,7318
IFN-stimulated,MRC1+ M2-like,C1QB,LRP1,0.0541629016704257,13995.6666666667,0.925830249785516,5609,0.0114533976929939,24081,0.728439791191959,12297
Stress-response,IFN-stimulated,IL1B,IL1R2_IL1RAP,0.0541696495402273,13564.6666666667,0.85763815600133,24082,0.0204623994566284,11970,1.00327304911893,4642
tumor_NMPR,MRC1+ M2-like,BMP7,ACVR1B,0.0541746591588294,23589.6666666667,0.72228239816387,60000,0.0440770640759953,3450,0.877345101705617,7319
MRC1+ M2-like,IFN-stimulated,CD99,PILRA,0.0541763979704601,16023,0.904543134065942,11157,0.0114525744458661,24083,0.715653011523932,12829
normal_NMPR,Ciliated,HSP90B1,ERBB2,0.0541831469611471,18586,0.857627682442623,24084,0.0193992139533307,12864,0.589979354352962,18810
M2-SIGLEC8+,Ciliated,APOE,LRP6,0.0541890483593591,11738.3333333333,0.852410566556211,25537,0.0292107848705633,7320,1.17952444811632,2358
tumor_NMPR,normal_NMPR,BTC,ERBB3,0.0541890483593591,24311,0.707873599670741,62984,0.050543582793183,2629,0.877343458343928,7320
SPP1+ immunosuppressive,MRC1+ M2-like,SERPINF1,PLXDC2,0.0541898965123117,18698,0.85761898751507,24085,0.0127525331534284,21241,0.768358400878237,10768
Ciliated,tumor_MPR,WNT7B,FZD3_LRP5,0.0542034393553997,27959.6666666667,0.654338455224123,72663,0.0413430252326403,3895,0.877321616975445,7321
Regulatory,tumor_MPR,ACTR2,LDLR,0.0542101485289035,19382.6666666667,0.897814494479075,12971,0.012843157168911,21089,0.504158103792299,24088
tumor_NMPR,M2-SIGLEC8+,VEGFA,NRP1,0.0542169003222111,20040.6666666667,0.865766947188095,21766,0.0114516677673972,24089,0.681012058363884,14267
Resident M2,Ciliated,CALM1,MYLK,0.0542169003222111,13847,0.857601560630955,24089,0.0294731508431889,7221,0.782976143132095,10231
