source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
Regulatory,CD8.TPEX,LGALS1,CD69,0.666666666666667,2.86811344355966,3.48130931264921,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-A,CD8A,0.116666666666667,11.5297137709665,9.1827094265254,3,7,1
Regulatory,CD8.TEX,HLA-A,CD8A,0.833333333333333,10.9676176688608,11.4719810078684,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DRB1,LAG3,0.863636363636364,2.93906703977297,3.47239705196508,3,9,1
CD8.TEX,Resident M2,TIGIT,NECTIN2,0.360475232200422,1.19376389912068,0.391802441322891,3,7,1
Resident M2,CD8.TEX,NECTIN2,TIGIT,0.360475232200422,1.19376389912068,0.391802441322891,3,7,1
Regulatory,CD8.TPEX,HLA-DRA,LAG3,0.488808409149915,0,2.94282191881179,3,7,1
Regulatory,CD8.TPEX,HLA-DPA1,LAG3,0.488808409149915,0,2.43096875906531,3,7,1
CD8.TEX,Regulatory,IFNG,IFNGR1_IFNGR2,1,1.11684224292932,1.17344041119478,3,7,1
Resident M2,CD8.TPEX,HLA-DPA1,LAG3,0.360475232200422,0,3.92027367675434,3,7,1
Resident M2,CD8.TEX,SECTM1,CD7,1,0.774205328539256,0.859361236834312,3,7,1
IFN-stimulated,CD8.TEX,ITGB2,CD226,1,0.939863549573463,0.976054736169119,3,9,1
Resident M2,CD8.TEX,CD48,CD2,0.183333333333333,3.31029021787307,2.6712596287979,3,7,1
Resident M2,CD8.TEX,HLA-B,CD8A,0.666666666666667,11.0207361893904,11.1591822214243,3,7,1
Resident M2,CD8.TPEX,MMP9,CD44,0.488808409149915,1.36506761535531,0.395739139424736,3,7,1
Resident M2,CD8.TEX,NECTIN2,CD96,0.360475232200422,1.38752409992172,0.36065514390192,3,7,1
Resident M2,CD8.TEX,LYZ,ITGAL,0.516666666666667,3.65619114267555,3.36471537895542,3,7,1
Regulatory,CD8.TEX,SNCA,LAG3,0.109530971677927,0.31705864397184,0.151023671835016,3,7,1
Resident M2,CD8.TPEX,SECTM1,CD7,0.480514297908541,0,0.790222980380652,3,7,1
IFN-stimulated,CD8.TPEX,HLA-DRA,LAG3,0.351835987518778,0,5.16380192446009,3,9,1
