source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Regulatory,Monocyte-derived,TGFB1,TGFbR1_R2,0.00139758180720527,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Monocyte-derived,TGFB1,TGFbR1_R2,0.00249447497526761,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Monocyte-derived,TGFB1,TGFbR1_R2,0.00103764443767648,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Monocyte-derived,TGFB1,TGFbR1_R2,0.00185325956932717,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00253774493211917,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.000537482443213594,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00667557973408079,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00376129111803884,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00561972052887437,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00569763182442652,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00315288182688328,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00561925095777289,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00234111291148409,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00417564334398274,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Regulatory,TGFB1,TGFbR1_R2,0.00135395165761873,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Regulatory,TGFB1,TGFbR1_R2,0.00356926003917794,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Regulatory,TGFB1,TGFbR1_R2,0.00200793613387649,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,Regulatory,TGFB1,TGFbR1_R2,0.00300275198624431,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Regulatory,TGFB1,TGFbR1_R2,0.00304378645880717,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Regulatory,TGFB1,TGFbR1_R2,0.00168215443889767,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Regulatory,TGFB1,TGFbR1_R2,0.00300250039838054,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Regulatory,TGFB1,TGFbR1_R2,0.00124892437056679,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Regulatory,TGFB1,TGFbR1_R2,0.00223068395214513,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Resident M2,TGFB1,TGFbR1_R2,0.00166370307858181,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Resident M2,TGFB1,TGFbR1_R2,0.000352180869436285,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Resident M2,TGFB1,TGFbR1_R2,0.00438145778330869,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Resident M2,TGFB1,TGFbR1_R2,0.00246662613151699,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
