source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
MRC1+ M2-like,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00356937648266062,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00757026986422976,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.00100169147015318,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,MRC1+ M2-like,TGFB1,TGFbR1_R2,0.0065608126668048,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Regulatory,TGFB1,TGFbR1_R2,0.00713483213937103,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Regulatory,TGFB1,TGFbR1_R2,0.00783766968208771,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Regulatory,TGFB1,TGFbR1_R2,0.00192235051650296,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Regulatory,TGFB1,TGFbR1_R2,0.00529486149918082,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Regulatory,TGFB1,TGFbR1_R2,0.0112187462925717,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Regulatory,TGFB1,TGFbR1_R2,0.00148735317619966,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Regulatory,TGFB1,TGFbR1_R2,0.00972569592547116,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Resident M2,TGFB1,TGFbR1_R2,0.00366895150613137,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Resident M2,TGFB1,TGFbR1_R2,0.00403098416953253,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Resident M2,TGFB1,TGFbR1_R2,0.000986017532517199,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Resident M2,TGFB1,TGFbR1_R2,0.00272165662202026,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Resident M2,TGFB1,TGFbR1_R2,0.00578057670154942,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Resident M2,TGFB1,TGFbR1_R2,0.000762735533324596,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Resident M2,TGFB1,TGFbR1_R2,0.00500760151478726,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00882865043216083,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00969762314227353,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.0023816873901529,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00655319225385039,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.0138685484902076,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00184294134809929,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.0120271378569293,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00260718759988041,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Lipid-associated,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.0028645842569803,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
