source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
CD8.TPEX,tumor,GZMA,PARD3,0.0293506005516227,0,0.0378175135824867,0,Both
CD8.TEX,tumor,PPIA,BSG,0.074303923352038,0,0.0845434419568635,0,Both
CD8.TPEX,tumor,PPIA,BSG,0.0754629677878732,0,0.0947675123446005,0,Both
tumor,CD8.TEX,COL4A5,ITGA1_ITGB1,0.0169586623643294,0,0.0032428066938601,0,Both
tumor,CD8.TPEX,COL4A5,ITGA1_ITGB1,0.0064562713989387,0,0.00294037706257016,0,Both
tumor,CD8.TEX,LAMA3,ITGA1_ITGB1,0.0034317815017196,0,0.00313167730711444,0,Both
tumor,CD8.TPEX,LAMA3,ITGA1_ITGB1,0.0012954617609443,0,0.00283958226469488,0,Both
tumor,CD8.TEX,LAMA5,ITGA1_ITGB1,0.0135818427105886,0,0.00284999685703852,0,Both
tumor,CD8.TPEX,LAMA5,ITGA1_ITGB1,0.00515971815706522,0,0.00258410636040101,0,Both
tumor,CD8.TEX,LAMC1,ITGA1_ITGB1,0.0164231319711325,0,0.0030194763880034,0,Both
tumor,CD8.TPEX,LAMC1,ITGA1_ITGB1,0.00625028287772729,0,0.00273781770914646,0,Both
tumor,CD8.TEX,LAMC2,ITGA1_ITGB1,0.00401575460551075,0,0.00453149580657912,0,Both
tumor,CD8.TPEX,LAMC2,ITGA1_ITGB1,0.00151645869878179,0,0.00410937634479524,0,Both
tumor,CD8.TEX,COL4A5,CD44,0.0164193860382371,0,0.0050870623556988,0,Both
tumor,CD8.TPEX,COL4A5,CD44,0.0109299192037344,0,0.0054502697506126,0,Both
tumor,CD8.TEX,LAMA3,CD44,0.00332119944805289,0,0.00491304275963351,0,Both
tumor,CD8.TPEX,LAMA3,CD44,0.0022010287809487,0,0.00526389119503578,0,Both
tumor,CD8.TEX,LAMA5,CD44,0.013148511172211,0,0.00447185516515015,0,Both
tumor,CD8.TPEX,LAMA5,CD44,0.00874287031715944,0,0.00479134937260105,0,Both
tumor,CD8.TEX,LAMC1,CD44,0.0159006097710367,0,0.00473732283958943,0,Both
tumor,CD8.TPEX,LAMC1,CD44,0.0105827184441016,0,0.00507568683397182,0,Both
tumor,CD8.TEX,LAMC2,CD44,0.00388642861166859,0,0.00710343429246288,0,Both
tumor,CD8.TPEX,LAMC2,CD44,0.00257611079099102,0,0.007609506025551,0,Both
tumor,CD8.TPEX,COL4A5,SDC4,0.0010113405243978,0,0.00115663553232899,0,Both
tumor,CD8.TEX,PGE2-PTGES2,PTGER4,0.00323682733851241,0,0.00116966401509414,0,Both
tumor,CD8.TEX,PGE2-PTGES3,PTGER4,0.0124664664962282,0,0.0208504727618829,0,Both
tumor,CD8.TEX,APP,CD74,0.117804754165695,0,0.13178138434488,0,Both
tumor,CD8.TPEX,APP,CD74,0.10956959029727,0,0.116552302967708,0,Both
CD8.TEX,tumor,CD96,NECTIN1,0.0533458062995684,0,0.0543536035152813,0,Both
CD8.TPEX,tumor,CD96,NECTIN1,0.0463777588629004,0,0.0420301870020833,0,Both
tumor,CD8.TEX,CDH1,ITGAE_ITGB7,0.0193718303610962,0,0.0212531819931875,0,Both
tumor,CD8.TEX,F11R,ITGAL_ITGB2,0.0455612330549639,0,0.0476820908589197,0,Both
tumor,CD8.TPEX,F11R,ITGAL_ITGB2,0.0309367449275958,0,0.0249681308452143,0,Both
tumor,CD8.TEX,HLA-A,CD8A,0.297732580407556,0,0.192946126561955,0,Both
tumor,CD8.TPEX,HLA-A,CD8A,0.283744137349265,0,0.170327490739556,0,Both
tumor,CD8.TEX,HLA-B,CD8A,0.251499413020771,0,0.218164436562142,0,Both
tumor,CD8.TPEX,HLA-B,CD8A,0.238944076003324,0,0.193297575816904,0,Both
tumor,CD8.TEX,HLA-C,CD8A,0.276458223531227,0,0.241768050827409,0,Both
tumor,CD8.TPEX,HLA-C,CD8A,0.263094855486117,0,0.214950469210938,0,Both
tumor,CD8.TEX,HLA-E,CD8A,0.187873188092291,0,0.158088300785117,0,Both
tumor,CD8.TPEX,HLA-E,CD8A,0.177739936378362,0,0.138852923614217,0,Both
tumor,CD8.TEX,HLA-F,CD8A,0.0681019640599824,0,0.0524405933676247,0,Both
tumor,CD8.TEX,HLA-A,CD8B,0.0590635528830235,0,0.0323526878433222,0,Both
tumor,CD8.TEX,HLA-B,CD8B,0.0473909037090283,0,0.0375580315778105,0,Both
tumor,CD8.TEX,HLA-C,CD8B,0.0535429444068274,0,0.0426884007307993,0,Both
tumor,CD8.TEX,HLA-E,CD8B,0.0331169504913131,0,0.0255879542579024,0,Both
tumor,CD8.TEX,HLA-F,CD8B,0.0107041665163358,0,0.00768020020770878,0,Both
tumor,CD8.TPEX,NECTIN2,CD226,0.000990321833988845,0,0.00167080913985768,0,Both
tumor,CD8.TEX,NECTIN2,TIGIT,0.00671255013043759,0,0.00897893493175214,0,Both
tumor,CD8.TPEX,NECTIN2,TIGIT,0.00725106786326927,0,0.0085278562824861,0,Both
CD8.TEX,tumor,SEMA4D,PLXNB2,0.00938386327518465,0,0.00642635073037617,0,Both
CD8.TPEX,tumor,SEMA4D,PLXNB2,0.00944984284141827,0,0.0145283351125236,0,Both
tumor,CD8.TEX,ITGAV_ITGB1,ADGRE5,0.00844980855629768,0,0.0140423084269266,0,Both
