source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
Resident M2,SPP1+ immunosuppressive,CCL3,CCR5,1,49682,0.750596381528099,42559,0.00343852637509759,55731,0.0101494361501796,50756
IFN-stimulated,MRC1+ M2-like,CALM1,KCNN4,1,47462.6666666667,0.750595692128364,42560,0.00604249654155049,41565,-0.108835352979903,58263
Ciliated,MRC1+ M2-like,APOE,TREM2,1,44225.6666666667,0.750591985203251,42561,0.00176597301147088,63576,0.333315637652357,26540
normal_NMPR,Stress-response,ADAM17,RHBDF2,1,47685.3333333333,0.750578238885118,42566,0.00504467299024778,47122,-0.0264338260040656,53368
CD8.TEX,Ciliated,GPI,AMFR,1,54152,0.750577714891754,42567,0.00345818500196375,55627,-0.262393693280941,64262
tumor_NMPR,CD8.TEX,ICAM1,IL2RG,1,42459.6666666667,0.75056400323153,42569,0.00121754947638361,65895,0.455551951111584,18915
Stress-response,Ciliated,HSP90B1,TLR4,1,58774,0.750562984180742,42570,0.000801287114971258,67569,-0.346558151479406,66183
normal_NMPR,normal_NMPR,SPP1,CD44,1,59831.6666666667,0.750558036134659,42573,0.00056266326879705,68253,-0.63733378325099,68669
M2-SIGLEC8+,CD8.TPEX,TNF,TNFRSF1B,1,43526.6666666667,0.750549475027761,42574,0.0032620477175362,56630,0.264796770738171,31376
Monocyte-derived,CD8.TPEX,APOE,SORL1,1,56624.3333333333,0.750548464982396,42575,0.00156749588002741,64412,-0.217013796756388,62886
IFN-stimulated,MRC1+ M2-like,SERPINE1,PLAUR,1,50634.6666666667,0.750534698025856,42578,0.00343560925452881,55745,-0.0301190548468575,53581
MRC1+ M2-like,SPP1+ immunosuppressive,VEGFA,ITGB1,1,59390.3333333333,0.750525320013813,42579,0.000689521295457408,67899,-0.460743916736181,67693
M2-SIGLEC8+,SPP1+ immunosuppressive,CALM1,INSR,1,56474.6666666667,0.750517747279969,42581,0.00275361558654844,59145,-0.461570477324319,67698
tumor_NMPR,Resident M2,GNAI2,EDNRB,1,47782.6666666667,0.75050713329599,42583,0.00464158392511227,49382,0.00148978301841129,51383
Regulatory,tumor_NMPR,PLAU,IGF2R,1,55941.6666666667,0.750498634643238,42586,0.00181608920859735,63389,-0.188183963301364,61850
MRC1+ M2-like,Regulatory,TNFSF13B,CD40,1,48426.3333333333,0.750480948155369,42591,0.00343516787687769,55746,0.0620278915826573,46942
normal_NMPR,Monocyte-derived,GRN,SORT1,1,58821.6666666667,0.750478121059802,42592,0.00126282784692579,65693,-0.522890203036359,68180
IFN-stimulated,Ciliated,ANXA1,EGFR,1,50552.3333333333,0.750474613980212,42594,0.00544151685575757,44926,-0.257760990045509,64137
Lipid-associated,CD8.TEX,TOR2A,ATP5F1B,1,54490.3333333333,0.750461672807051,42598,0.00321311492749517,56913,-0.250767562713337,63960
