source,cd8_state,response,mean_activity
RLF,CD8.TPEX,non-MPR,3.92496333133657
RLF,CD8.TPEX,pCR,3.76098277870015
TBX21,CD8.TEX,MPR,6.16859756706398
TBX21,CD8.TEX,non-MPR,6.46663921682131
TBX21,CD8.TEX,pCR,6.14695184779752
TBX21,CD8.TPEX,MPR,5.76342224725926
TBX21,CD8.TPEX,non-MPR,6.18786417155808
TBX21,CD8.TPEX,pCR,5.88303134926592
ZBTB4,CD8.TEX,MPR,11.444080532791
ZBTB4,CD8.TEX,non-MPR,10.7900295793356
ZBTB4,CD8.TEX,pCR,10.9055526650443
ZBTB4,CD8.TPEX,MPR,11.6504135514164
ZBTB4,CD8.TPEX,non-MPR,10.7667673101836
ZBTB4,CD8.TPEX,pCR,10.8810292316363
