source,tam_state,response,mean_activity
IRF1,Regulatory,NMPR,8.673928765
IRF1,Resident M2,MPR,10.62553223
IRF1,Resident M2,NMPR,10.58830984
IRF1,SPP1+ immunosuppressive,MPR,10.02287974
IRF1,SPP1+ immunosuppressive,NMPR,10.28060549
IRF1,Stress-response,MPR,10.27245902
IRF1,Stress-response,NMPR,12.99022033
IRF5,IFN-stimulated,MPR,2.163894542
IRF5,IFN-stimulated,NMPR,3.629174095
IRF5,Lipid-associated,MPR,2.4308019
IRF5,Lipid-associated,NMPR,1.963139439
IRF5,M2-SIGLEC8+,MPR,0.368817312
IRF5,M2-SIGLEC8+,NMPR,1.397202953
IRF5,MRC1+ M2-like,MPR,0.879892474
IRF5,MRC1+ M2-like,NMPR,1.012401446
IRF5,Monocyte-derived,NMPR,3.653533868
IRF5,Regulatory,MPR,1.028574951
IRF5,Regulatory,NMPR,1.096359446
IRF5,Resident M2,MPR,0.533210482
IRF5,Resident M2,NMPR,2.080106801
IRF5,SPP1+ immunosuppressive,MPR,2.099916171
IRF5,SPP1+ immunosuppressive,NMPR,5.12937402
IRF5,Stress-response,MPR,2.438898955
IRF5,Stress-response,NMPR,5.563647414
JUN,IFN-stimulated,MPR,13.16870381
JUN,IFN-stimulated,NMPR,14.61872745
JUN,Lipid-associated,MPR,15.470443
JUN,Lipid-associated,NMPR,14.89961189
JUN,M2-SIGLEC8+,MPR,12.54477411
JUN,M2-SIGLEC8+,NMPR,13.87187457
JUN,MRC1+ M2-like,MPR,13.69859124
JUN,MRC1+ M2-like,NMPR,13.50444198
JUN,Monocyte-derived,NMPR,15.87435201
JUN,Regulatory,MPR,14.07831116
JUN,Regulatory,NMPR,13.7882466
JUN,Resident M2,MPR,13.21156637
JUN,Resident M2,NMPR,13.65174952
JUN,SPP1+ immunosuppressive,MPR,13.05618298
JUN,SPP1+ immunosuppressive,NMPR,16.28182913
JUN,Stress-response,MPR,15.48702762
JUN,Stress-response,NMPR,17.86133699
JUND,IFN-stimulated,MPR,4.196801668
JUND,IFN-stimulated,NMPR,5.369538508
JUND,Lipid-associated,MPR,4.818703664
JUND,Lipid-associated,NMPR,5.535764052
JUND,M2-SIGLEC8+,MPR,3.423110376
JUND,M2-SIGLEC8+,NMPR,4.433120332
JUND,MRC1+ M2-like,MPR,3.407713672
JUND,MRC1+ M2-like,NMPR,3.400801087
JUND,Monocyte-derived,NMPR,6.58585828
JUND,Regulatory,MPR,3.683304494
JUND,Regulatory,NMPR,3.934328129
JUND,Resident M2,MPR,4.424474432
JUND,Resident M2,NMPR,4.499659597
JUND,SPP1+ immunosuppressive,MPR,4.240644283
JUND,SPP1+ immunosuppressive,NMPR,6.730860906
JUND,Stress-response,MPR,4.969471798
JUND,Stress-response,NMPR,8.198435157
KLF6,IFN-stimulated,MPR,4.827283
KLF6,IFN-stimulated,NMPR,5.312039339
KLF6,Lipid-associated,MPR,7.055215952
KLF6,Lipid-associated,NMPR,7.899971053
KLF6,M2-SIGLEC8+,MPR,6.884245372
KLF6,M2-SIGLEC8+,NMPR,7.217840445
KLF6,MRC1+ M2-like,MPR,5.021089037
KLF6,MRC1+ M2-like,NMPR,5.443207089
KLF6,Monocyte-derived,NMPR,7.754287498
KLF6,Regulatory,MPR,6.64205755
KLF6,Regulatory,NMPR,5.801741163
KLF6,Resident M2,MPR,5.028628496
KLF6,Resident M2,NMPR,6.908323461
KLF6,SPP1+ immunosuppressive,MPR,6.883448887
KLF6,SPP1+ immunosuppressive,NMPR,9.437525395
KLF6,Stress-response,MPR,6.972731214
KLF6,Stress-response,NMPR,8.265244666
NFKB,IFN-stimulated,MPR,15.54263143
NFKB,IFN-stimulated,NMPR,16.2840946
NFKB,Lipid-associated,MPR,16.2635899
NFKB,Lipid-associated,NMPR,15.49573794
NFKB,M2-SIGLEC8+,MPR,14.89011138
NFKB,M2-SIGLEC8+,NMPR,16.38635817
NFKB,MRC1+ M2-like,MPR,14.60926341
NFKB,MRC1+ M2-like,NMPR,14.33011324
NFKB,Monocyte-derived,NMPR,17.15171596
NFKB,Regulatory,MPR,14.74614515
NFKB,Regulatory,NMPR,14.61050298
NFKB,Resident M2,MPR,14.98596524
NFKB,Resident M2,NMPR,15.77795208
NFKB,SPP1+ immunosuppressive,MPR,14.64827331
NFKB,SPP1+ immunosuppressive,NMPR,18.05795398
NFKB,Stress-response,MPR,17.0756108
NFKB,Stress-response,NMPR,19.06916784
NFKB1,IFN-stimulated,MPR,11.55797995
NFKB1,IFN-stimulated,NMPR,12.03014153
NFKB1,Lipid-associated,MPR,11.99014857
NFKB1,Lipid-associated,NMPR,12.17309906
NFKB1,M2-SIGLEC8+,MPR,10.58036727
NFKB1,M2-SIGLEC8+,NMPR,11.91938437
NFKB1,MRC1+ M2-like,MPR,10.03590875
NFKB1,MRC1+ M2-like,NMPR,8.890868013
NFKB1,Monocyte-derived,NMPR,12.96486348
NFKB1,Regulatory,MPR,9.942852421
NFKB1,Regulatory,NMPR,9.178893125
NFKB1,Resident M2,MPR,11.07569825
NFKB1,Resident M2,NMPR,10.90868842
NFKB1,SPP1+ immunosuppressive,MPR,10.99438085
NFKB1,SPP1+ immunosuppressive,NMPR,14.31581214
NFKB1,Stress-response,MPR,13.32359369
NFKB1,Stress-response,NMPR,15.37954168
NFKBIB,IFN-stimulated,MPR,3.702329994
NFKBIB,IFN-stimulated,NMPR,3.870762408
NFKBIB,Lipid-associated,MPR,3.984495595
NFKBIB,Lipid-associated,NMPR,4.511127504
NFKBIB,M2-SIGLEC8+,MPR,3.116650251
NFKBIB,M2-SIGLEC8+,NMPR,4.811957041
NFKBIB,MRC1+ M2-like,MPR,2.594636296
NFKBIB,MRC1+ M2-like,NMPR,1.732919528
NFKBIB,Monocyte-derived,NMPR,6.317129358
NFKBIB,Regulatory,MPR,3.087762054
NFKBIB,Regulatory,NMPR,2.491803458
NFKBIB,Resident M2,MPR,3.114678623
NFKBIB,Resident M2,NMPR,4.554599802
NFKBIB,SPP1+ immunosuppressive,MPR,3.492369526
NFKBIB,SPP1+ immunosuppressive,NMPR,6.679164983
NFKBIB,Stress-response,MPR,4.590234376
NFKBIB,Stress-response,NMPR,7.357834334
REL,IFN-stimulated,MPR,11.35296655
REL,IFN-stimulated,NMPR,11.65417738
REL,Lipid-associated,MPR,10.34184829
REL,Lipid-associated,NMPR,11.18535396
REL,M2-SIGLEC8+,MPR,9.826991999
REL,M2-SIGLEC8+,NMPR,11.3788915
REL,MRC1+ M2-like,MPR,9.023941662
REL,MRC1+ M2-like,NMPR,8.12674394
REL,Monocyte-derived,NMPR,12.92848197
REL,Regulatory,MPR,9.606643047
REL,Regulatory,NMPR,9.09426316
REL,Resident M2,MPR,10.59636811
REL,Resident M2,NMPR,11.05801219
REL,SPP1+ immunosuppressive,MPR,10.65403982
REL,SPP1+ immunosuppressive,NMPR,13.46028106
REL,Stress-response,MPR,11.51214224
REL,Stress-response,NMPR,14.81417685
RELA,IFN-stimulated,MPR,13.70964275
RELA,IFN-stimulated,NMPR,14.03270852
RELA,Lipid-associated,MPR,14.77210233
RELA,Lipid-associated,NMPR,14.40182135
RELA,M2-SIGLEC8+,MPR,12.48001466
RELA,M2-SIGLEC8+,NMPR,14.14041758
RELA,MRC1+ M2-like,MPR,12.09642982
RELA,MRC1+ M2-like,NMPR,10.59069338
RELA,Monocyte-derived,NMPR,15.29856173
RELA,Regulatory,MPR,12.32012554
RELA,Regulatory,NMPR,11.21946739
RELA,Resident M2,MPR,13.32516071
RELA,Resident M2,NMPR,13.248717
RELA,SPP1+ immunosuppressive,MPR,12.97815975
RELA,SPP1+ immunosuppressive,NMPR,16.47098534
RELA,Stress-response,MPR,14.92178408
RELA,Stress-response,NMPR,17.78724388
RFX5,IFN-stimulated,MPR,15.01435703
RFX5,IFN-stimulated,NMPR,14.90460004
RFX5,Lipid-associated,MPR,13.83112566
RFX5,Lipid-associated,NMPR,13.47950623
RFX5,M2-SIGLEC8+,MPR,17.09505804
RFX5,M2-SIGLEC8+,NMPR,16.9610138
RFX5,MRC1+ M2-like,MPR,17.12467923
RFX5,MRC1+ M2-like,NMPR,13.4379014
RFX5,Monocyte-derived,NMPR,10.85870947
RFX5,Regulatory,MPR,15.94801242
RFX5,Regulatory,NMPR,14.35259953
RFX5,Resident M2,MPR,15.31770072
RFX5,Resident M2,NMPR,12.52166783
RFX5,SPP1+ immunosuppressive,MPR,17.29410397
RFX5,SPP1+ immunosuppressive,NMPR,13.91246681
RFX5,Stress-response,MPR,10.82442696
RFX5,Stress-response,NMPR,15.49405911
RFXANK,IFN-stimulated,MPR,16.34237923
RFXANK,IFN-stimulated,NMPR,16.27124669
RFXANK,Lipid-associated,MPR,15.55992203
RFXANK,Lipid-associated,NMPR,14.96726597
RFXANK,M2-SIGLEC8+,MPR,18.72639262
RFXANK,M2-SIGLEC8+,NMPR,18.49848342
RFXANK,MRC1+ M2-like,MPR,18.7798728
RFXANK,MRC1+ M2-like,NMPR,14.86373996
RFXANK,Monocyte-derived,NMPR,11.55688114
RFXANK,Regulatory,MPR,17.47969557
RFXANK,Regulatory,NMPR,15.6351687
RFXANK,Resident M2,MPR,16.70888086
RFXANK,Resident M2,NMPR,13.34654542
RFXANK,SPP1+ immunosuppressive,MPR,18.97560045
RFXANK,SPP1+ immunosuppressive,NMPR,15.48823148
RFXANK,Stress-response,MPR,11.64623209
RFXANK,Stress-response,NMPR,17.04940405
RFXAP,IFN-stimulated,MPR,17.54422887
RFXAP,IFN-stimulated,NMPR,17.47187171
RFXAP,Lipid-associated,MPR,16.74830898
RFXAP,Lipid-associated,NMPR,16.0665379
RFXAP,M2-SIGLEC8+,MPR,20.09226443
RFXAP,M2-SIGLEC8+,NMPR,19.78020753
RFXAP,MRC1+ M2-like,MPR,20.11601882
RFXAP,MRC1+ M2-like,NMPR,15.99242586
RFXAP,Monocyte-derived,NMPR,12.49503266
RFXAP,Regulatory,MPR,18.58010745
RFXAP,Regulatory,NMPR,16.80358868
RFXAP,Resident M2,MPR,17.78801007
RFXAP,Resident M2,NMPR,14.39033688
RFXAP,SPP1+ immunosuppressive,MPR,20.29251066
RFXAP,SPP1+ immunosuppressive,NMPR,16.65771082
RFXAP,Stress-response,MPR,12.52490266
RFXAP,Stress-response,NMPR,18.26208202
XBP1,IFN-stimulated,MPR,4.813234743
XBP1,IFN-stimulated,NMPR,5.185142135
XBP1,Lipid-associated,MPR,7.518955748
XBP1,Lipid-associated,NMPR,6.653149635
XBP1,M2-SIGLEC8+,MPR,5.210492839
XBP1,M2-SIGLEC8+,NMPR,5.631929625
XBP1,MRC1+ M2-like,MPR,4.546651495
XBP1,MRC1+ M2-like,NMPR,3.825341176
XBP1,Monocyte-derived,NMPR,7.533245206
XBP1,Regulatory,MPR,5.190383456
XBP1,Regulatory,NMPR,4.621933139
XBP1,Resident M2,MPR,4.514897648
XBP1,Resident M2,NMPR,6.217761778
XBP1,SPP1+ immunosuppressive,MPR,5.665327214
XBP1,SPP1+ immunosuppressive,NMPR,7.880881084
XBP1,Stress-response,MPR,7.941133431
XBP1,Stress-response,NMPR,7.416764544
