cell,final_group,scevan_group,CytoTRACE2_Score,CytoTRACE2_Potency,response,cell_type
BD_immune08_212469,,,0.0514303695638393,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune08_284693,,,0.0501728270288629,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune08_596990,normal_NMPR,normal_NMPR,0.0562465597792695,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune08_287929,,,0.0536106635054487,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune09_646695,normal_NMPR,normal_NMPR,0.215276647102661,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_352548,normal_NMPR,normal_NMPR,0.305966204586175,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_189566,normal_NMPR,normal_NMPR,0.428033552132738,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_638638,normal_NMPR,normal_NMPR,0.1426503145399,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_81915,normal_NMPR,normal_NMPR,0.434374146969351,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_605948,normal_NMPR,normal_NMPR,0.469454644917174,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_139519,normal_NMPR,normal_NMPR,0.396868926107201,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_605576,normal_NMPR,normal_NMPR,0.378676164225247,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_328287,normal_NMPR,normal_NMPR,0.388609808995584,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_85130,normal_NMPR,normal_NMPR,0.157371178841108,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_182540,normal_NMPR,normal_NMPR,0.405702860790587,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_789865,normal_NMPR,normal_NMPR,0.264678007107785,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_556921,normal_NMPR,normal_NMPR,0.52933067400212,Multipotent,NMPR,Tumor_epithelial_basal
