final_group,PathResponse,TME_cell_type,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM,cell
normal_MPR,MPR,Tumor_epithelial_basal,0.0550785994998214,0.157838513754912,0.0795119884659273,0.0202216222297221,0.055928903179707,0.0654514690047685,0.133746098862378,0.0391131426592113,0.0642873642873643,0.0318729135956314,0.0636280814576634,0.0494582894582895,0.0577134690961058,0.043463737048946,0.035998570918185,0.059887459807074,0.0416638819456512,0.0775741336191497,0.0592729546266524,0.0263059211759853,0.0628617363344052,0.0916237942122187,0.113156855707107,0.0975866805608185,0.0705162558056449,0.0983857560019041,0.127102536620222,0.0148320828867453,0.0520221507681314,0.0798420674802585,0.0910914612361557,0.205677027509825,0.0781695177572723,0.0219935691318328,0.00683560835861141,0.130303679885673,0.0931761343336906,0.0381040892193308,0.0535638368539923,0.129150623621944,0.0835414513721437,0.186931857488758,0.0139716532174633,0.109708859963529,0.153133261879243,0.118435658258667,0.0570539015372641,0.112353467980164,0.0347359775834581,0.0428277956413005,BD_immune03_676003
Ciliated,NMPR,Ciliated_epithelial,0.0505108967488389,0.151879242586638,0.0738030324771608,0.0154404319946001,0.0685744908896034,0.0327334256268267,0.0670164011923364,0.0239992082735415,0.0751767151767152,0.0622489349523071,0.0845105394783852,0.0772645372645373,0.0475687745623437,0.0296516613076099,0.00882636655948554,0.0286923901393354,0.0516554609493003,0.0631493390496606,0.0361754197927832,0.0308808639892001,0.055666309396213,0.0645730618077885,0.0822989949748744,0.0195031261841606,0.0333529832082887,0.122446659609086,0.116634512325831,0.00882636655948554,0.0679564130046445,0.0719346733668341,0.0894533762057877,0.154253304751697,0.0346058694556156,0.0451482672382993,0.0723057802494101,0.0769899964272954,0.066697034655234,0.0498732679959446,0.0460774544971436,0.0969263171751078,0.0625502353886784,0.0750190245589761,0.00851955307262575,0.03106960950764,0.0678760271525545,0.061453216320473,0.0452519945514691,0.0446468750974652,0.0265230204357698,0.0302911754197928,BD_immune04_639050
tumor_NMPR,NMPR,Tumor_epithelial,0.0781868524473026,0.100382279385495,0.102074493163602,0.0315839802002476,0.0748142193640586,0.0470312259652361,0.164414621441922,0.0200993369290911,0.123635943635944,0.0459730812678246,0.0518042157913541,0.083989703989704,0.246663093962129,0.0663486959628439,0.0688227938549482,0.112608074312254,0.0684996814279159,0.181938192211504,0.099156841729189,0.0231372107848652,0.0631171847088246,0.127656305823508,0.0709170854271357,0.0452309902740937,0.0515702036441587,0.152028107171023,0.123692390139336,0.0370150053590568,0.0393712040014291,0.101256281407035,0.23159521257592,0.363288674526617,0.117383249891545,0.050762772418721,0.0641009437141894,0.128043944265809,0.171337977849232,0.0508702264278472,0.0680915371329879,0.175374337710205,0.110643443564129,0.210646835005189,0.0366620111731844,0.108124253285544,0.179760628795999,0.230002637082283,0.0230589608873322,0.160241758339682,0.0367892168703802,0.0918488745980708,BD_immune07_325601
tumor_NMPR,NMPR,Tumor_epithelial,0.0724615934262236,0.0687924258663809,0.0970488353183144,0.046115048561893,0.075155412647374,0.0522842639593909,0.156969084168275,0.0325968627839082,0.120891660891661,0.0520619627271299,0.0446909610575206,0.0745735345735346,0.274349767774205,0.0505984280100036,0.0881118256520186,0.0935459092533048,0.0749513230766489,0.219137191854234,0.0878492318685245,0.0334589567630405,0.0643729903536977,0.116452304394427,0.0546464465183059,0.0409443286598459,0.0490210789567703,0.130468144969342,0.097695605573419,0.0301268310110754,0.0255269739192568,0.124319813352477,0.181014648088603,0.361530903894248,0.140270140346352,0.049253304751697,0.0705889787664308,0.14730618077885,0.153361914969632,0.0323420074349442,0.0640261724458616,0.145476684108336,0.0910624067057068,0.167215496368039,0.044364266501138,0.0993586115827202,0.158601286173633,0.155262818979633,0.0432987935395991,0.154712416291286,0.0461777541588161,0.0773776348695963,BD_immune07_486630
tumor_NMPR,NMPR,Tumor_epithelial,0.046445158985352,0.0500946766702394,0.0771136119823163,0.0206997412532344,0.0494694533762058,0.031333640978311,0.121317172884413,0.0244074422287099,0.108948948948949,0.0416445045565298,0.0477259735619864,0.0748402948402949,0.162486602357985,0.0562200785994999,0.0490961057520543,0.0728224365844945,0.0512544611230669,0.132086459449803,0.0717631296891748,0.00689991375107812,0.0514147909967846,0.111400500178635,0.0478338119167265,0.0272159593280283,0.0389978563772776,0.0966308340497488,0.0623240443015363,0.0235494819578421,0.0258056448731689,0.0771356783919598,0.14631296891747,0.237977849231869,0.0934293988673803,0.0306127188281529,0.0116279069767442,0.0826688102893891,0.127926045016077,0.0240368367691788,0.0635512156237544,0.0968341725079804,0.0864909863359743,0.157225873400208,0.0292571901510449,0.0747657674652581,0.14132725973562,0.142718279886422,0.0647888694298502,0.0924750154830488,0.0428523117058796,0.0707591997141837,BD_immune07_524588
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0737370489460522,0.122624151482672,0.122570020977253,0.0477744028199647,0.0894444444444444,0.0691893554837717,0.125370416573652,0.0151479538819338,0.119330099330099,0.0339346230415026,0.0889514112182922,0.0970726570726571,0.157690246516613,0.0463879957127545,0.0369667738478028,0.0747534833869239,0.0679471927784386,0.1493158270811,0.0612433011789925,0.030937113286084,0.0580457306180779,0.081611289746338,0.0500502512562814,0.0564449917898193,0.0588549481957842,0.209404108080456,0.163935334047874,0.0291068238656663,0.0375062522329404,0.0895226130653266,0.113338692390139,0.229426580921758,0.113109545193401,0.0192818863879957,0.0536737445230873,0.15605930689532,0.118865666309396,0.0185873605947955,0.0568021788229042,0.130025997959654,0.0882564014238144,0.13720511933587,0.0380095178977861,0.035829717663334,0.110196498749553,0.0977682924585579,0.0282204709087371,0.102344066762015,0.0305811874969806,0.056788138620936,BD_immune07_178927
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0729242586638085,0.114548052876027,0.108435998879391,0.045036937038287,0.0763326187924259,0.0517151207506538,0.117161066099388,0.0305526003265871,0.10030954030954,0.0482703422842931,0.0748231511254019,0.0588416988416989,0.117245444801715,0.0399446230796713,0.0571989996427296,0.0677617006073598,0.079348954504342,0.113006430868167,0.0647892104322972,0.0225184685191435,0.050918185066095,0.0856752411575563,0.0828122756640345,0.0549371605406088,0.0708520900321543,0.171811832579025,0.155619864237228,0.0331225437656306,0.0549660593068954,0.0669885139985642,0.148361914969632,0.250384065737764,0.0892025935349224,0.0263915684172918,0.0427620492079541,0.132951053947838,0.114632011432655,0.0171510645488341,0.0604191576989505,0.135594168558923,0.113417154667585,0.176264268419232,0.021360955927995,0.0923284914795951,0.121153983565559,0.127919955353584,0.0455487448920023,0.0861837737648091,0.0493743659113967,0.0705001786352268,BD_immune07_255916
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0564415862808145,0.114040728831726,0.0615890781624746,0.0595305058686766,0.0719417649160414,0.0695739117058914,0.149280614902455,0.0508931664110051,0.0953661353661354,0.0533638283968816,0.0641407645587709,0.0635357435357435,0.0781082529474813,0.0453858520900322,0.0428903179707039,0.0697481243301179,0.06525603838905,0.0852697391925688,0.0650125044658807,0.0431994600067499,0.0672418720971776,0.0947284744551625,0.0811288585786073,0.0571870658077555,0.0652929617720615,0.131139562477353,0.0957538406573777,0.0154930332261521,0.052443729903537,0.0701022972002872,0.122513397642015,0.181895319757056,0.0971578984394236,0.0482940335834227,0.0364004044489383,0.113394069310468,0.155809217577706,0.0208516390672524,0.0680948585093663,0.113903972093329,0.0875638707084625,0.145153925977171,0.0119180633147113,0.0734704143872226,0.13223829939264,0.117298033227237,0.0449601089706169,0.0639416500697294,0.00927581042562442,0.0583744194355127,BD_immune07_133124
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0668774562343695,0.101227224008575,0.121169259783121,0.06076799040012,0.0741479099678457,0.0701968927857253,0.127817245107437,0.0344895838487802,0.147073227073227,0.0353428668399111,0.0646820292961772,0.0754603954603955,0.0970239371204001,0.0397123972847445,0.0768828152911755,0.0835566273669167,0.0597913018682137,0.122390139335477,0.0858199356913183,0.0630742115723554,0.0602036441586281,0.122200785994998,0.0633399138549893,0.0549687381583933,0.043367274026438,0.157552203599366,0.120919971418364,0.0278885316184352,0.0673204715969989,0.0860642498205312,0.152182922472312,0.210471596998928,0.0903281783113883,0.0453822793854948,0.0520728008088979,0.109122901036084,0.089221150410861,0.021122000675904,0.0764016208316727,0.103001283443578,0.0948121196463428,0.179889311656866,0.0353817504655494,0.104533735773125,0.151034297963558,0.156556829123201,0.0542517999610819,0.0946092256693355,0.110375702529913,0.0538745980707396,BD_immune07_374609
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0932047159699892,0.112974276527331,0.125265632153277,0.0674054074324071,0.0781886387995713,0.0577372711890478,0.123844978748922,0.0492385818199812,0.114386694386694,0.0414114857985198,0.0801036084315827,0.0745594945594945,0.121078956770275,0.0594194355126831,0.072470525187567,0.0788710253662022,0.08151212578919,0.099038942479457,0.0929796355841372,0.0659054261821728,0.0647427652733119,0.137427652733119,0.0701094759511844,0.0996786977390426,0.0744944623079671,0.160095774687915,0.133917470525188,0.0247570560914613,0.0565934262236513,0.0624210337401292,0.140314397999285,0.199465880671668,0.106830892612177,0.043329760628796,0.0636691102123357,0.102795641300464,0.106475526973919,0.0426495437647854,0.0490766573668128,0.178135386843058,0.11898251808474,0.183369076444137,0.0181822884336851,0.0922844746274288,0.169880314397999,0.115203699274496,0.0762453784783032,0.131260609787069,0.0414512778395092,0.0554841014648089,BD_immune07_138392
