cell,CytoTRACE2_Score,CytoTRACE2_Potency,scevan_group,response,cell_type
BD_immune12_611097,0.0924918279967733,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_41094,0.019781006401221,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_672056,0.384856803127893,Oligopotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_513216,0.244904450831581,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_206131,0.118843055087796,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_750169,0.201127997374326,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_641841,0.11583692179214,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_563628,0.191163054043549,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_600518,0.0811724954701012,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_797983,0.122575107910126,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_633825,0.0496937390295994,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_611303,0.0555198669176035,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_390330,0.0719635636162011,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_205489,0.147886531652745,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_777224,0.115578812964778,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_114294,0.191089260099478,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_632911,0.069674422219412,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_744835,0.0528992855069679,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_306643,0.116699661142374,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_460280,0.0342299126246967,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
