cell,CytoTRACE2_Score,CytoTRACE2_Potency,scevan_group,response,cell_type
BD_immune12_226907,0.0901545835361313,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_324766,0.112129036783928,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_484905,0.0780493237882264,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_7271,0.410033251251449,Oligopotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_407477,0.2999246330563,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_163559,0.0892998234658873,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_298864,0.134097403070321,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_92761,0.0998303550144386,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_713729,0.0841202344035364,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_586935,0.0882540082796406,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_250301,0.120099979704749,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_538621,0.100747867274974,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_295991,0.0806289321568686,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_597385,0.120265499735243,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_724959,0.287810629652342,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_237547,0.0711745371000759,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_381866,0.0845170480077975,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_100946,0.0787446452463144,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_303390,0.108612709979529,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_561139,0.0781548927500789,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_203154,0.14444166090029,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_406466,0.0792566011936919,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_205826,0.0823693361299963,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_226007,0.0945875183263148,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_652313,0.13447281235817,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_34739,0.0804670260813945,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_200135,0.0947920370438961,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_271762,0.0855329746946855,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
