comparison,signature,p_value,median_tumor_MPR,median_tumor_NMPR,median_normal_MPR,median_normal_NMPR,median_MPR,median_NMPR,p_adj
tumor_MPR_vs_NMPR,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.22E-176,0.068033978,0.045525057,,,,,3.04E-175
tumor_MPR_vs_NMPR,HALLMARK_APICAL_JUNCTION,5.70E-137,0.065642194,0.083036799,,,,,7.13E-136
tumor_MPR_vs_NMPR,HALLMARK_MITOTIC_SPINDLE,5.00E-133,0.053028536,0.075276382,,,,,5.00E-132
tumor_MPR_vs_NMPR,HALLMARK_ALLOGRAFT_REJECTION,1.63E-122,0.082320472,0.070978921,,,,,1.36E-121
tumor_MPR_vs_NMPR,HALLMARK_APOPTOSIS,3.43E-122,0.109004241,0.133734062,,,,,2.45E-121
tumor_MPR_vs_NMPR,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.38E-121,0.103684454,0.137791638,,,,,8.64E-121
tumor_MPR_vs_NMPR,HALLMARK_P53_PATHWAY,3.84E-121,0.139857092,0.160025009,,,,,2.13E-120
tumor_MPR_vs_NMPR,HALLMARK_PROTEIN_SECRETION,2.83E-117,0.150189459,0.124334381,,,,,1.29E-116
tumor_MPR_vs_NMPR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3.30E-110,0.108254734,0.150135763,,,,,1.38E-109
tumor_MPR_vs_NMPR,HALLMARK_GLYCOLYSIS,1.70E-98,0.126977492,0.110276885,,,,,6.52E-98
tumor_MPR_vs_NMPR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.29E-96,0.220273312,0.168810289,,,,,2.60E-95
tumor_MPR_vs_NMPR,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.00E-90,0.055566291,0.033125594,,,,,3.34E-90
tumor_MPR_vs_NMPR,HALLMARK_NOTCH_SIGNALING,4.07E-84,0.076566186,0.051999073,,,,,1.27E-83
tumor_MPR_vs_NMPR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,8.14E-62,0.253009339,0.218474576,,,,,2.14E-61
tumor_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_DN,1.39E-54,0.025174169,0.030391211,,,,,3.48E-54
tumor_MPR_vs_NMPR,HALLMARK_G2M_CHECKPOINT,1.46E-50,0.085919078,0.113317256,,,,,3.47E-50
tumor_MPR_vs_NMPR,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.40E-40,0.157715919,0.173958506,,,,,4.99E-40
tumor_MPR_vs_NMPR,HALLMARK_TGF_BETA_SIGNALING,1.81E-39,0.088260077,0.102817079,,,,,3.63E-39
tumor_MPR_vs_NMPR,HALLMARK_PI3K_AKT_MTOR_SIGNALING,9.01E-37,0.136773949,0.146518248,,,,,1.73E-36
tumor_MPR_vs_NMPR,HALLMARK_E2F_TARGETS,1.93E-34,0.090743123,0.12535995,,,,,3.58E-34
tumor_MPR_vs_NMPR,HALLMARK_DNA_REPAIR,7.59E-30,0.053174213,0.063665614,,,,,1.31E-29
tumor_MPR_vs_NMPR,HALLMARK_FATTY_ACID_METABOLISM,4.74E-28,0.100791306,0.091334394,,,,,7.91E-28
tumor_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_UP,6.59E-25,0.030556449,0.035599321,,,,,1.06E-24
tumor_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V2,5.51E-11,0.096301985,0.110568186,,,,,8.35E-11
tumor_MPR_vs_NMPR,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.51E-10,0.054648089,0.057748303,,,,,3.69E-10
tumor_MPR_vs_NMPR,HALLMARK_HYPOXIA,8.32E-10,0.136447839,0.127040907,,,,,1.19E-09
tumor_MPR_vs_NMPR,HALLMARK_COMPLEMENT,2.10E-08,0.0485602,0.051058414,,,,,2.84E-08
tumor_MPR_vs_NMPR,HALLMARK_INTERFERON_GAMMA_RESPONSE,6.33E-07,0.087273133,0.083505716,,,,,8.11E-07
tumor_MPR_vs_NMPR,HALLMARK_INFLAMMATORY_RESPONSE,3.60E-06,0.040025902,0.043022508,,,,,4.50E-06
tumor_MPR_vs_NMPR,HALLMARK_MTORC1_SIGNALING,4.94E-05,0.201309396,0.205219721,,,,,5.88E-05
tumor_MPR_vs_NMPR,HALLMARK_HEME_METABOLISM,0.000606675,0.072217756,0.069572169,,,,,0.000705436
tumor_MPR_vs_NMPR,HALLMARK_UV_RESPONSE_UP,0.015062998,0.131005529,0.132846787,,,,,0.017117043
tumor_MPR_vs_NMPR,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.041507145,0.101662913,0.107069778,,,,,0.04611905
