source,tam_state,response,mean_activity
HIF1A,IFN-stimulated,non-MPR,13.0448794470301
HIF1A,IFN-stimulated,pCR,11.1634527543572
HIF1A,LAMs,MPR,8.65516967554762
HIF1A,LAMs,non-MPR,10.69057827564
HIF1A,LAMs,pCR,8.48864097789354
HIF1A,Monocyte FCN1+,MPR,12.5184450330414
HIF1A,Monocyte FCN1+,non-MPR,14.4604623292557
HIF1A,Monocyte FCN1+,pCR,12.8359157712155
HIF1A,Proliferating,MPR,9.60965691643522
HIF1A,Proliferating,non-MPR,11.5244259566343
HIF1A,Proliferating,pCR,11.1024477215444
HIF1A,Resident M2,MPR,10.2841883855135
HIF1A,Resident M2,non-MPR,13.463554337782
HIF1A,Resident M2,pCR,12.3415892492716
HIF1A,Stress-response,MPR,11.0724898613665
HIF1A,Stress-response,non-MPR,13.6959049238301
HIF1A,Stress-response,pCR,13.122211469073
HSF1,Classical-Mono,MPR,6.43756403195187
HSF1,Classical-Mono,non-MPR,8.10917441421955
HSF1,Classical-Mono,pCR,7.14926446883785
HSF1,IFN-stimulated,MPR,7.42268693322829
HSF1,IFN-stimulated,non-MPR,10.6037563460999
HSF1,IFN-stimulated,pCR,8.80525620922648
HSF1,LAMs,MPR,5.18675527262375
HSF1,LAMs,non-MPR,7.97784636960684
HSF1,LAMs,pCR,4.74550559338171
HSF1,Monocyte FCN1+,MPR,8.73097569854375
HSF1,Monocyte FCN1+,non-MPR,10.6113144628202
HSF1,Monocyte FCN1+,pCR,8.90582823961829
HSF1,Proliferating,MPR,6.85591770493645
HSF1,Proliferating,non-MPR,10.2808230396949
HSF1,Proliferating,pCR,8.72235234773114
HSF1,Resident M2,MPR,9.16349307514627
HSF1,Resident M2,non-MPR,12.5003450693889
HSF1,Resident M2,pCR,11.7886782728546
HSF1,Stress-response,MPR,8.75990283807593
HSF1,Stress-response,non-MPR,12.4741505849928
HSF1,Stress-response,pCR,11.72816124895
HSF2,Classical-Mono,MPR,5.28421614509727
HSF2,Classical-Mono,non-MPR,7.21118427259467
HSF2,Classical-Mono,pCR,6.11741407750104
HSF2,IFN-stimulated,MPR,4.76655297602611
HSF2,IFN-stimulated,non-MPR,8.33044241868986
HSF2,IFN-stimulated,pCR,7.40160570632068
HSF2,LAMs,MPR,4.16641081358156
HSF2,LAMs,non-MPR,6.67185117322069
HSF2,LAMs,pCR,4.4325387764724
HSF2,Monocyte FCN1+,MPR,5.55531031223435
HSF2,Monocyte FCN1+,non-MPR,7.03479469742375
HSF2,Monocyte FCN1+,pCR,5.60938095849023
HSF2,Proliferating,MPR,5.467934415273
HSF2,Proliferating,non-MPR,8.26283480402643
HSF2,Proliferating,pCR,7.14213475068148
HSF2,Resident M2,MPR,6.33882957741643
HSF2,Resident M2,non-MPR,9.31813128947481
HSF2,Resident M2,pCR,8.25727258055834
HSF2,Stress-response,MPR,7.09168765173031
HSF2,Stress-response,non-MPR,9.7631279126876
HSF2,Stress-response,pCR,9.24886357863799
JUN,Classical-Mono,MPR,12.9134514988397
JUN,Classical-Mono,non-MPR,13.706470341241
JUN,Classical-Mono,pCR,12.0696493723363
JUN,IFN-stimulated,MPR,14.327197104889
JUN,IFN-stimulated,non-MPR,16.1088912717027
JUN,IFN-stimulated,pCR,15.156888535106
JUN,LAMs,MPR,11.0922031868901
JUN,LAMs,non-MPR,12.6136785118023
JUN,LAMs,pCR,10.2524912610221
JUN,Monocyte FCN1+,MPR,15.6672647503384
JUN,Monocyte FCN1+,non-MPR,16.5437255159779
JUN,Monocyte FCN1+,pCR,16.134077720155
JUN,Proliferating,MPR,11.7142753610203
JUN,Proliferating,non-MPR,13.6164232557493
JUN,Proliferating,pCR,13.149024247054
JUN,Resident M2,MPR,14.046871692127
JUN,Resident M2,non-MPR,16.3103209675738
JUN,Resident M2,pCR,15.8269482521962
JUN,Stress-response,MPR,13.4557084920816
JUN,Stress-response,non-MPR,15.5468432363415
JUN,Stress-response,pCR,15.2076089234739
KAT6B,Classical-Mono,MPR,1.5609086428711
KAT6B,Classical-Mono,non-MPR,1.10529614019912
KAT6B,Classical-Mono,pCR,1.4421065322653
KAT6B,IFN-stimulated,MPR,1.81615212513567
KAT6B,IFN-stimulated,non-MPR,2.72011606540971
KAT6B,IFN-stimulated,pCR,1.36995909356583
KAT6B,LAMs,MPR,2.95981337408533
KAT6B,LAMs,non-MPR,2.66556249210129
KAT6B,LAMs,pCR,1.78926944305099
KAT6B,Monocyte FCN1+,MPR,1.75740803219093
KAT6B,Monocyte FCN1+,non-MPR,2.77267365064726
KAT6B,Monocyte FCN1+,pCR,1.1727254784853
KAT6B,Proliferating,MPR,3.66499880011872
KAT6B,Proliferating,non-MPR,4.23797091974232
KAT6B,Proliferating,pCR,3.09037081546256
KAT6B,Resident M2,MPR,2.07785686075782
KAT6B,Resident M2,non-MPR,3.8577876414242
KAT6B,Resident M2,pCR,2.0880649966042
KAT6B,Stress-response,MPR,2.39664821864011
KAT6B,Stress-response,non-MPR,2.49762277356076
KAT6B,Stress-response,pCR,2.6353539833698
MYC,Classical-Mono,MPR,20.5398904816497
MYC,Classical-Mono,non-MPR,20.4278276537426
