tam_state,source,p_value,median_MPR,median_nonMPR,p_adj
Monocyte FCN1+,RFXANK,8.26621619864415e-09,15.61742298,13.75268526,2.36177605675547e-08
Monocyte FCN1+,RFXAP,1.42388732740505e-08,16.82665255,14.82003491,3.55971831851261e-08
Monocyte FCN1+,RFX5,4.4774113771429e-08,13.85182397,12.29852487,9.94980306031755e-08
Monocyte FCN1+,STAT3,7.4834773312144e-08,9.795272721,10.48480832,1.49669546624288e-07
Monocyte FCN1+,NFKB,8.85999462911304e-08,15.91516642,16.78308836,1.61090811438419e-07
Monocyte FCN1+,JUN,1.0071333391294e-06,15.79840699,16.56218864,1.67855556521567e-06
Monocyte FCN1+,AP1,2.57565294468728e-06,11.44318116,12.20112593,3.67950420669611e-06
Monocyte FCN1+,EGR1,2.49737272231935e-06,8.489951134,9.096102432,3.67950420669611e-06
Monocyte FCN1+,CREB1,9.7066194464648e-06,10.47934765,10.99293898,1.29421592619531e-05
Monocyte FCN1+,SPI1,0.000204077,11.38656664,11.85212398,0.000255096
Monocyte FCN1+,IRF1,0.002350886,7.744623871,8.124094884,0.002765748
Monocyte FCN1+,CIITA,0.002805041,12.70066994,12.23599655,0.003116712
Monocyte FCN1+,REL,0.009087341,11.14299701,11.76258184,0.009565622
Monocyte FCN1+,DDIT3,0.163665299,8.12780357,8.227043241,0.163665299
Proliferating,STAT1,7.30339763711665e-27,6.662479572,9.812526834,1.46067952742333e-25
Proliferating,HSF2,1.85190124115324e-23,5.679748839,8.422154356,1.85190124115324e-22
Proliferating,HSF1,1.2444262342857e-22,6.83304377,10.60346387,8.296174895238e-22
Proliferating,NFKB,8.82743641850425e-21,12.46534243,15.37587357,3.5309745674017e-20
Proliferating,EGR1,8.44021166091943e-21,5.669856212,8.217012697,3.5309745674017e-20
Proliferating,SPI1,5.60998011523086e-20,8.183843438,10.19197619,1.86999337174362e-19
Proliferating,RELA,8.21239009162147e-18,10.42293129,13.51215528,2.34639716903471e-17
Proliferating,NFKB1,4.45964433310323e-16,9.486392682,12.01349278,1.11491108327581e-15
Proliferating,DDIT3,2.37853549058924e-15,5.822036792,7.932511187,5.28563442353165e-15
Proliferating,HIF1A,2.93905640555413e-15,9.69475496,11.58791254,5.87811281110826e-15
Proliferating,IRF1,9.89368578264303e-15,5.46368987,7.306645345,1.79885196048055e-14
Proliferating,REL,8.36620795643795e-14,8.96431399,11.2122199,1.39436799273966e-13
Proliferating,JUN,8.04969921119812e-13,11.68123169,13.71597733,1.23841526326125e-12
Proliferating,CREB1,3.84881316773251e-12,8.094479612,10.04018976,5.49830452533216e-12
Proliferating,CIITA,2.86669760654613e-11,9.382080954,12.1553969,3.82226347539484e-11
Proliferating,AP1,1.09296377608349e-10,8.683177224,10.03875929,1.36620472010436e-10
Proliferating,RFXAP,4.84787214513956e-08,11.40977742,15.13944271,5.70337899428183e-08
Proliferating,RFX5,5.91050577902271e-08,9.706216545,12.51909436,6.56722864335857e-08
Proliferating,RFXANK,2.63368194261634e-07,10.88407742,14.16250795,2.77229678170141e-07
Proliferating,STAT3,6.14347977401924e-07,7.592967545,8.775150891,6.14347977401924e-07
Resident M2,HIF1A,5.81550304028211e-59,10.27627587,13.58248774,1.16310060805642e-57
Resident M2,NFKB1,3.6227294016868e-54,11.04570004,14.54773492,3.6227294016868e-53
Resident M2,RELA,1.2649265729644e-53,12.77802887,16.44858346,8.43284381976265e-53
Resident M2,HSF2,3.10773236936163e-49,6.505590053,9.425989253,1.55386618468082e-48
Resident M2,NFKB,4.84959196843932e-47,15.28164073,18.36506977,1.93983678737573e-46
Resident M2,HSF1,1.18347421759021e-42,8.948103858,12.55996688,3.94491405863404e-42
