source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_pCR,p_adj
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,CCRL2,0.211633604303109,0.3434257273817,2.69368280815852,0.599375110993313
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CIRBP,TREM1,0.012467254108121,0.93328612409446,1.86458329944188,0.348647767790486
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.908994045880185,1.95143325237547,1.71448159777578,0.927173926797789
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CCL5,CCR1,0.797351470111364,0,0,0.86521116969531
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CIRBP,TREM1,0.35268919763227,0.644197872764959,1.38755620586254,0.614059869159085
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCR1,0.448204688677696,0.47974851500595,1.51153574788789,0.684145034532032
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCRL2,0.117025026695101,0,1.44306776942969,0.599375110993313
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CIRBP,TREM1,0.35268919763227,0.575823524591002,1.01766393448033,0.614059869159085
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCR1,0.336725896478436,0.393994009248114,1.09475407312518,0.614059869159085
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CCL5,CCR1,0.832635814675025,0.781670236130829,0.741392227011484,0.884675553092214
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CCL5,CCRL2,0.294724934508216,0.828228796201367,1.28616536325184,0.601238866396761
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),TNFSF9,HLA-DPA1,0.201369373660395,1.18363006610888,1.71596548095122,0.599375110993313
CD8.TPEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),HSPA1A,TLR4,0.0250535841867111,0.311732582920375,1.42598386925165,0.348647767790486
