source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TIMP2,ITGB1,0.477625505988195,8706,0.854305105371479,5858,0.0157467949071434,11708,0.3252285885213,8552
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),ICAM1,SPN,0.477747900838369,10546,0.76867943704106,11709,0.0186695030360766,9474,0.253340790087211,10455
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),MMP2,CCR2,0.477765313116459,9811.66666666667,0.485292875488527,21126,0.0386646636354815,2851,0.460783679555403,5458
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),SPON2,ITGA5,0.477894528839297,8666.33333333333,0.659880286465295,17545,0.0592235084283804,1214,0.377969680980511,7240
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Proliferating TAMs (cycling/MKI67+),HLA-DRB5,CD4,0.477922661263208,8721.33333333333,0.859947329867732,5459,0.0108126641595803,15977,0.501338537620338,4728
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LIN7C,ABCA1,0.477922661263208,7054.33333333333,0.765386518957438,11917,0.032695700669452,3787,0.460698701282823,5459
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),C3,ITGAX,0.477992753264206,10606,0.768655822449259,11711,0.0162532057656179,11301,0.314224994005205,8806
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),SPN,SIGLEC1,0.478265626803951,8023.33333333333,0.682661169603825,16598,0.0592083207230969,1215,0.422591711215801,6257
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),GNAI2,ADCY7,0.478360188743464,10575.6666666667,0.804797511795738,9153,0.0157348946172481,11714,0.238775142639145,10860
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD14,ITGB1,0.478482709067827,8750.66666666667,0.877768257007227,4171,0.0157344494564381,11715,0.256689457022413,10366
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TFPI,LRP1,0.478552244590828,8873,0.669038455309457,17175,0.0317485115637384,3981,0.460598342673276,5463
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,ADAM9,ITGB1,0.478605250310803,9601.66666666667,0.820538311373645,8134,0.0194492990476511,8955,0.208780868505932,11716
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TNFSF13,SDC2,0.478709688090032,8197,0.704818672584844,15494,0.0334139382378239,3633,0.46057947013537,5464
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),ICAM1,SPN,0.47872781247418,10553.6666666667,0.768603042895092,11717,0.0186534695982178,9483,0.253175948694756,10461
CD8.TPEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),TGFB1,SDC2,0.478850395559742,9278,0.768599356614846,11718,0.0255799001520044,5799,0.258405293675693,10317
Proliferating TAMs (cycling/MKI67+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),APP,NOTCH2,0.479095624504566,7655.66666666667,0.768584846814342,11720,0.0259190570985776,5668,0.453728230323353,5579
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Proliferating TAMs (cycling/MKI67+),SIRPA,CD47,0.479279601147202,8979.16666666667,0.768578871150359,11721.5,0.0213093117838518,7844.5,0.372895632084888,7371.5
Proliferating TAMs (cycling/MKI67+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD47,SIRPA,0.479279601147202,8979.16666666667,0.768578871150359,11721.5,0.0213093117838518,7844.5,0.372895632084888,7371.5
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CALR,LRP1,0.47934093715956,9261.33333333333,0.865823182903415,5004,0.0157175643783442,11722,0.231861032109579,11058
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),MIF,CD74_CXCR4,0.48012057060943,13799.3333333333,0.920558852619103,1220,0.00678960933288097,19219,-0.320549149364778,20959
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),PTPN6,CLEC12A,0.480127536844291,6804.66666666667,0.762790591072024,12075,0.0264231124193567,5473,0.625227317439969,2866
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,S100A9,ITGB2,0.48028517078056,6454.33333333333,0.908055512426771,2077,0.0156068579016554,11812,0.460151402113254,5474
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),GRN,TNFRSF1B,0.480323025166933,7543,0.892903389689926,3112,0.0157039399809388,11730,0.35412764623276,7787
Proliferating TAMs (cycling/MKI67+),CD8.TEX,COL9A2,CD44,0.480323025166933,6600.33333333333,0.768462237037738,11730,0.0503551809484943,1738,0.419013805195987,6333
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),IL18,IL18BP,0.480442823740894,7366,0.739198149774438,13561,0.0264193336159654,5475,0.608865827552032,3062
