source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),ANXA1,FPR2_FPR3,0.103433660527167,11399.3333333333,0.890229017041489,12931,0.0124169970631471,11642,0.694135267997596,9625
CD8.NaiveLike,CD8.TEMRA,HLA-C,CD8A,0.103444151683406,16833,0.962378181437915,462,0.0100068145753339,16652,-0.0377299977629892,33385
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),APOE,SORL1,0.103505667249888,10360.6666666667,0.890516865680483,12876,0.0116732720039195,12934,0.933272945039313,5272
CD8.EM,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),ANXA1,FPR1,0.103553690293005,7757.66666666667,0.924897026934497,6230,0.0116731406883198,12936,1.03165149302072,4107
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TIGIT,NECTIN2,0.10355534647817,6816.83333333333,0.876887593347903,15349.5,0.0420905737973774,671.5,0.998588173226793,4429.5
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,NECTIN2,TIGIT,0.10355534647817,6816.83333333333,0.876887593347903,15349.5,0.0420905737973774,671.5,0.998588173226793,4429.5
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),THBS1,CD36,0.10362267637242,10830,0.801752777406343,26866,0.0342186985302528,1193,0.998532672422591,4431
CD8.NaiveLike,Proliferating TAMs (cycling/MKI67+),LTB,TNFRSF1A,0.103625752705378,8043.33333333333,0.890175917927714,12939,0.0209100643665378,4124,0.815943614740722,7067
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),MIF,CD74_CXCR4,0.103665437367819,14178.3333333333,0.962340203652952,463,0.00723049919242681,24475,0.405943300549087,17597
CD8.EM,CD8.TEX,B2M,KLRC1,0.103667574043492,9479.66666666667,0.935672281704057,4432,0.0229894801397757,3284,0.313112197169805,20723
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),PLTP,ABCA1,0.103667574043492,9015,0.854149227264289,19150,0.0202616160173492,4432,1.09480368042662,3463
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.MAIT,ICAM1,IL2RG,0.103673812882106,12165.3333333333,0.890329536238795,12919,0.0131069098619013,10636,0.564566287250205,12941
