source,target,ligand,receptor,p_value,median_MPR,median_nonMPR,n_MPR,n_nonMPR,p_adj
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CD80,CTLA4,0.114342242394609,0.103439591050228,0.346010945516833,7,37,0.576195221478716
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,S100A8,CD69,0.115756625126174,2.59944101347673,5.95564876413632,7,37,0.579534792027795
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,LGALS1,CD69,0.117455252750951,4.49103621640994,6.367707728319,7,37,0.584245160457956
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,F13A1,ITGA4,0.119993292156667,0.935201560881223,0.743358892623626,9,38,0.591508712149831
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-A,CD8A,0.120449893394972,6.21879929563794,7.02670814809753,9,39,0.591508712149831
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-A,CD8B,0.123459916480087,2.67543340534819,3.52064667025654,7,37,0.602453136747767
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),IFNG,IFNGR1_IFNGR2,0.1281987888379,0.887613488602603,1.26681388998761,9,38,0.610131272802598
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DRB5,LAG3,0.128110706162472,1.40691067799971,2.23580544582683,7,36,0.610131272802598
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,LGALS1,CD69,0.127057691453657,3.26920301345136,4.54138876947551,9,39,0.610131272802598
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,LGALS1,PTPRC,0.125972727625229,5.62556828828434,6.79465115589949,9,40,0.610131272802598
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DRB1,LAG3,0.129521057434961,3.12968252622894,3.82717585008559,10,40,0.611446325494238
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),GZMB,IGF2R,0.130061215799034,0.375464643865813,1.05071800392893,7,36,0.611446325494238
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-DPA1,LAG3,0.130992019536911,2.29509103364851,3.55727834502813,7,32,0.612089982199749
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-A,CD8A,0.132647698733415,6.34760349791081,6.99749705373885,9,40,0.612403447445888
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-C,CD3G,0.132560243386315,2.54128861306638,3.50304671840692,10,40,0.612403447445888
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,ICOSLG,CTLA4,0.13605239452361,0.0285859957705387,0.105811882723843,9,38,0.624383310581568
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TNFSF9,HLA-DPA1,0.143382538380354,1.14661497382479,1.97800857659667,9,40,0.62669816352592
CD8.TEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1A,0.142174478589844,0,0.383655326230603,7,31,0.62669816352592
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,RETN,GPR25,0.142541691543657,0.229871497442213,0.404894505260184,9,39,0.62669816352592
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CRTAM,CADM1,0.141331585317302,0,0,7,32,0.62669816352592
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,CADM1,CRTAM,0.141331585317302,0,0,7,32,0.62669816352592
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,PDCD1LG2,PDCD1,0.144310900317773,0,0,7,36,0.62669816352592
CD8.TEX,Proliferating TAMs (cycling/MKI67+),TNFSF9,HLA-DPA1,0.144685179127904,1.15726233704266,1.79092399481064,7,31,0.62669816352592
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,CD59,CD2,0.142091824717083,0.575197331055348,0.878351580819223,10,40,0.62669816352592
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-A,CD8B,0.143214661319511,2.40892412215163,3.38641724116546,7,32,0.62669816352592
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD14,ITGA4,0.143194551488781,0.903773539758082,1.30797944482762,7,36,0.62669816352592
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.145541222075077,2.38400283681291,0,7,37,0.626884258211644
CD8.TPEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),TNFSF9,HLA-DPA1,0.148157869053101,1.48098412905941,2.04369526484317,9,39,0.633598015003921
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD99,PILRA,0.148743502873813,1.58595571580499,1.22284291124273,10,39,0.633598015003921
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,CCRL2,0.153716337579572,1.50875150093938,2.02856544022529,9,39,0.636830804577098
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.157413828464487,2.41159183624826,0,7,36,0.636830804577098
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-B,CD8A,0.155972410743234,7.59425841917696,8.13987999323214,10,39,0.636830804577098
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.154759659698569,0.137203058637638,0.324829831060836,7,37,0.636830804577098
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-DPA1,LAG3,0.159362207901089,2.28158569437402,3.13537276033729,9,40,0.636830804577098
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF9,HLA-DPA1,0.1555515847542,1.3660091588136,1.57946242802711,7,36,0.636830804577098
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,C3,IFITM1,0.151914212030424,0,0.62543463537802,7,32,0.636830804577098
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,CD86,CTLA4,0.159330280274277,0.791151234153468,1.1351281160483,9,40,0.636830804577098
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,C3,IFITM1,0.15751093233229,0,0.682664959932158,7,36,0.636830804577098
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-A,CD3G,0.159414196217095,2.69601080317499,3.77675122133574,10,40,0.636830804577098
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,C1QB,C1QBP,0.15161366919241,1.90543709812893,1.08272878527326,10,40,0.636830804577098
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-DRB1,LAG3,0.158827172982326,3.45277427641042,4.03392752421354,7,32,0.636830804577098
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,MRC1,PTPRC,0.161298384152002,2.45410828963195,1.87198319610056,9,39,0.641036361758731
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,CCRL2,0.167123730087113,1.05037587673913,1.481944743474,9,40,0.641923038627112
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,VEGFA,ITGB1,0.166560124835254,0.590528239694851,0.931179212240261,9,40,0.641923038627112
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-C,NOTCH4,0.163832805649631,0,0,7,36,0.641923038627112
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-A,CD8A,0.166569242591056,6.98562132158405,7.81673114992535,9,38,0.641923038627112
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1A,0.163138097986319,0,0.358765464940704,7,32,0.641923038627112
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-A,CD3D,0.167144153018766,4.94989281030738,7.05094767366456,7,31,0.641923038627112
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,CD86,CTLA4,0.167349585945589,0.251678088411309,0.831163527991433,7,32,0.641923038627112
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,0.172012584147631,0.622550278372324,1.36727512562476,7,36,0.645292778114483
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-B,CD8A,0.173249812022955,7.0074269828654,7.48045800082177,10,40,0.645292778114483
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-A,CD8A,0.172513945803709,7.14162052968836,7.62341819718969,9,39,0.645292778114483
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DRA,LAG3,0.170544007321578,3.40760386352996,4.38663654114914,10,40,0.645292778114483
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,B2M,CD3G,0.172506158918882,3.70009874537442,5.34111333839849,7,37,0.645292778114483
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),FASLG,TNFRSF10B,0.17189071902097,0.0962645515055807,0.154824585015549,9,38,0.645292778114483
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DQB1,LAG3,0.17429692829649,1.73539985918318,2.22350666299578,10,40,0.646071787099007
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DQB1,LAG3,0.175203463724321,1.99274909402095,3.0025676206886,7,31,0.646324739384934
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-DRA,LAG3,0.176061566812977,4.09257287255672,4.86967766582664,7,36,0.646397466727646
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,CD55,ADGRE5,0.177703206468305,0.984640376943589,0.984431668410966,7,37,0.649332569606936
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD99,PILRA,0.180777347250988,1.50979874821927,0.963732637587632,9,38,0.652483468050075
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-B,CD8A,0.181104360781733,6.88233210715538,7.3904643491702,9,39,0.652483468050075
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,TGM2,ADGRG1,0.179778819111864,0,0.0786304836890688,7,36,0.652483468050075
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.182413912994292,0.187598466357433,0.302410239139199,7,36,0.652596190067423
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-A,CD3G,0.182828504610329,2.79812163223272,3.90776508935818,7,37,0.652596190067423
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DQA1,LAG3,0.18654866778747,2.09836159893617,2.53787809224867,9,39,0.659766159927246
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-A,CD8B,0.186186093174929,2.64926877123042,3.53354844802796,10,40,0.659766159927246
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,F13A1,ITGA4,0.187607936817734,0.857235520271312,0.332537914628408,7,36,0.660482736467912
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-C,CD8A,0.18928241348433,5.69199057670113,6.52347369602438,10,40,0.663348821801903
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,SECTM1,CD7,0.191157845464961,0.349260286062779,1.23427750978726,7,37,0.66689004006102
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-DRB1,LAG3,0.210769407809619,3.77318122517317,4.33887298550098,7,37,0.676943804649182
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-DRA,LAG3,0.21046182117149,3.66484181331223,4.12939103655568,9,40,0.676943804649182
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CIRBP,TREM1,0.210426908108564,0.93328612409446,1.32628987325061,9,40,0.676943804649182
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,C1QB,C1QBP,0.207548428547248,1.30277741960084,0.757736958126139,9,39,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,B2M,CD3G,0.196008231005684,8.28098847882058,7.0533263562595,10,39,0.676943804649182
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD99,PILRA,0.205142615784601,1.06086325766871,1.77948318748368,7,36,0.676943804649182
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),TNFSF9,HLA-DPA1,0.20381005657289,1.18363006610888,1.61372928347357,9,38,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-C,CD8A,0.204818120691527,6.39635667058362,7.51896552444757,10,39,0.676943804649182
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,CCL19,CXCR3,0.206274126867472,0,0,7,37,0.676943804649182
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-A,CD8A,0.20534195185898,6.12931647252329,7.25756252827641,7,31,0.676943804649182
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,CXCL12,CXCR3,0.20459993339109,0.0337589611688404,0,9,39,0.676943804649182
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HBEGF,CD82,0.21046182117149,0.985702006525583,1.25894875644226,9,40,0.676943804649182
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-B,LILRB1,0.204354321678207,1.88536732569609,2.53075249229313,7,36,0.676943804649182
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-B,LILRB1,0.209431950272663,1.86975492646354,2.53146850240353,7,37,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DPA1,LAG3,0.202863959701623,2.77559899655921,3.48673752787713,10,40,0.676943804649182
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-B,CD8B,0.210721163592185,3.18356940101321,3.86435769498281,7,37,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,B2M,CD3G,0.207133021384079,4.38669900073981,5.66450471110086,10,40,0.676943804649182
Proliferating TAMs (cycling/MKI67+),CD8.TEX,CD86,CTLA4,0.198369162890281,0.248700550323289,0.863009427192304,7,31,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-C,CD8B,0.211599814423415,2.47242362353135,3.05899747231612,10,40,0.676943804649182
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,B2M,CD3G,0.196591382983963,4.16894131650159,5.09981344417945,9,40,0.676943804649182
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-B,CD3G,0.216002160835934,3.06768414600664,3.9617354124932,10,40,0.688172173572336
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-DQB1,LAG3,0.217312475481613,1.37506646998645,2.45381607345363,7,36,0.68949760739228
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DQB1,LAG3,0.222689629263352,2.58982650967686,3.05437801247752,7,36,0.689583797110363
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF9,HLA-DPA1,0.22135003128332,1.34079405640288,1.9918709163593,7,37,0.689583797110363
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-DPA1,LAG3,0.222706051206849,3.06544246183882,3.80860778211274,7,37,0.689583797110363
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-A,CD8B,0.222689629263352,5.50594874603726,4.27783380545839,7,36,0.689583797110363
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,SDC4,0.222052259293682,0.791656371079011,0.781753568892071,7,36,0.689583797110363
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.218896711760175,2.35839020183718,0.934827091642646,7,31,0.689583797110363
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-A,CD3G,0.224807119045108,3.11240104133333,3.78223008396952,9,40,0.693305155135113
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,IL10,CD70,0.225946078252431,0.0266778088091543,0.0526147169995627,9,38,0.694041539173801
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-DRB1,LAG3,0.229884875572806,3.45073806788146,3.66184560507672,9,40,0.695063682614247
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,FN1,ITGA4_ITGB1,0.228294388071055,0.314722814574883,0.844652828376748,7,37,0.695063682614247
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,IL10,CD27,0.2283579073357,0.107715767957144,0.164070111450773,9,39,0.695063682614247
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DRB5,LAG3,0.229880532006742,1.1319774223878,1.48437231609943,10,40,0.695063682614247
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-A,CD3D,0.233338604560604,6.34423381730587,7.24187438943123,9,38,0.702750250454006
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),GZMB,IGF2R,0.234567370623949,0.672277910217481,0.988278573171072,9,39,0.703702111871848
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,VEGFA,ITGB1,0.239106003420272,0.660682658712726,1.13146019965518,9,39,0.712745654414858
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-DPB1,LAG3,0.239430771068026,2.52193559210846,3.15216514043759,10,40,0.712745654414858
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-B,LILRB2,0.242843735092119,2.95609496527182,3.77055093480584,7,36,0.720125075984708
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,SDC4,0.244856361917438,0.260515473023592,0.80267159762347,9,40,0.723311321985994
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,HLA-DRB5,LAG3,0.247697027504232,1.69877028441869,1.0738006661944,7,37,0.72692066691346
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-E,CD8B,0.247963859141686,1.55700170979199,2.37013855896755,7,37,0.72692066691346
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,ICAM1,IL2RG,0.250534119118114,0.849338992527996,0.915219516689804,9,39,0.728912474868173
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-A,CD3D,0.249878329740558,6.5533316665082,7.26754931408039,9,39,0.728912474868173
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),IFNG,IFNGR1_IFNGR2,0.253038251542988,0.852478736157364,1.04024246105694,10,39,0.733430420825727
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,CXCL16,CXCR6,0.255375913364698,1.34702823967768,1.07744109794879,9,38,0.734340773464612
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,LGALS9,PTPRC,0.25620968620231,2.35517204949881,2.34736791305939,7,36,0.734340773464612
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-B,CD3G,0.254492929310873,3.3295593868575,4.3457702218874,7,37,0.734340773464612
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,PDCD1LG2,PDCD1,0.260262773827424,0,0,7,37,0.743194809707199
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,CD14,ITGA4,0.262756394171148,1.9060709899097,1.28227604921693,7,36,0.747546789320867
Proliferating TAMs (cycling/MKI67+),CD8.TEX,B2M,CD3D,0.265101119977281,9.1199103332764,10.3201466433289,7,31,0.751024323071827
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,C3,IFITM1,0.266164765091677,0.751784878150372,1.03236699693716,9,39,0.751024323071827
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-B,CD3D,0.266900991597511,6.77167107938161,7.46247871616918,9,38,0.751024323071827
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.27020756273426,1.95143325237547,0.834792049928227,7,32,0.757563748611326
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,B2M,CD3D,0.277104965554677,8.91942467786212,10.6996559706018,7,36,0.760312912607318
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL16,CXCR6,0.277104965554677,1.45864385273876,1.03743892547014,7,36,0.760312912607318
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,LGALS1,PTPRC,0.27526851197808,6.09203368469655,6.80575292791502,7,37,0.760312912607318
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DPB1,LAG3,0.274802626862794,2.33102785205507,3.98520793846773,7,31,0.760312912607318
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-A,CD3D,0.274310175247133,6.79361830888519,7.57557086539617,10,39,0.760312912607318
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-C,CD8B,0.275217756977186,2.92003186417753,3.42782525964183,7,37,0.760312912607318
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HBEGF,CD82,0.280978605049712,1.04328758317356,0.618250772111678,7,37,0.765492948739674
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-DQA1,LAG3,0.280081524150699,2.21170524014067,2.5293487000971,7,32,0.765492948739674
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,B2M,CD3D,0.296201908782616,9.5236746920283,9.8111551936055,9,39,0.768426199168893
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-DPB1,LAG3,0.289635574907494,2.74873065543882,3.50346313553469,7,37,0.768426199168893
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-DRB1,LAG3,0.291952169732269,3.98282687019197,4.48775985717505,7,36,0.768426199168893
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-C,CD3G,0.296201908782616,4.83078092602002,4.37426411318114,9,39,0.768426199168893
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-DPB1,LAG3,0.291952169732269,2.6464355581257,3.4154715551377,7,36,0.768426199168893
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,LYZ,ITGAL,0.291952169732269,1.53225063584687,1.16881696283929,7,36,0.768426199168893
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-A,CD3D,0.291952169732269,6.88805142780938,7.61230771250053,7,36,0.768426199168893
Proliferating TAMs (cycling/MKI67+),CD8.TEX,S100A8,CD69,0.291247369923611,0,0.50372670485874,7,31,0.768426199168893
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,LGALS1,CD69,0.297005197603541,2.16700680261485,6.18157823759343,7,37,0.768426199168893
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,PDCD1LG2,PDCD1,0.295072171481677,0,0.0745044874840191,7,36,0.768426199168893
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,B2M,CD3G,0.288313399986006,4.33135691318982,5.17856001507346,7,32,0.768426199168893
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-A,CD8B,0.295647736058429,2.85328064663977,3.31510363694083,9,40,0.768426199168893
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,B2M,CD3G,0.296851948516678,4.59592650718059,5.28683395678918,7,37,0.768426199168893
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-C,CD3G,0.29664831171334,2.71350776107446,3.4582553252813,9,39,0.768426199168893
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-A,CD3D,0.289319195879992,5.65502210532284,6.0798243506975,9,40,0.768426199168893
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFNG,IFNGR1_IFNGR2,0.303560126601981,0.682572943094396,1.31084802877059,7,37,0.774982972218964
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,S100A8,CD69,0.302488961329248,0,0.396508100908071,7,32,0.774982972218964
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,LILRB1,0.303560126601981,2.44693938512625,3.24944007890859,7,37,0.774982972218964
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-B,CD8B,0.302599247037343,3.07280278912176,3.56540245027324,10,40,0.774982972218964
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,HLA-DRB5,LAG3,0.315606226846662,2.44615316858742,1.45966313568676,7,36,0.779911541342232
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,RETN,GPR25,0.312645935405764,0.0331507540441051,0.252871399017047,7,36,0.779911541342232
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-A,CD8A,0.311802998327165,7.12575145345319,7.72690420834062,7,37,0.779911541342232
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),IFNG,IFNGR1_IFNGR2,0.313822986464288,0.768367826888183,1.01847742080321,9,40,0.779911541342232
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,LILRB1,0.314654037227091,2.5016956174786,3.13982150212222,7,36,0.779911541342232
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-C,CD8A,0.308596065185217,5.61982072456281,6.26867844515478,9,39,0.779911541342232
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-B,CD8B,0.314126680547405,3.08487334425744,3.60170756816546,7,32,0.779911541342232
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD48,CD2,0.315606226846662,1.25478124007144,1.55515579543806,7,36,0.779911541342232
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-B,CD3G,0.309045712596522,3.14212068540759,4.1454742592237,9,39,0.779911541342232
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,HLA-B,CD3G,0.313822986464288,3.33229942998929,4.16596123449761,9,40,0.779911541342232
