source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD1D,LILRB2,4.4365316711262e-05,7801.33333333333,0.825613533728215,23232,0.0816152485354846,83,1.99281832807584,89
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEMRA,GNAI2,S1PR5,4.84395961446987e-05,3079.66666666667,0.908098500904696,9106,0.0791684473711083,93,2.24248032385955,40
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),APOE,TREM2,4.88108809860662e-05,518,0.957501750807292,1015,0.0490261205741831,457,2.01663848958822,82
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A9,CD68,5.17534813166135e-05,516.666666666667,0.961621230723184,485,0.0363520927510537,1035,2.33009747337406,30
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,CD68,5.73438611470522e-05,691.333333333333,0.957843501619906,967,0.0358903009965539,1071,2.26494451557307,36
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL9,FCGR2A,6.77480658289905e-05,1239,0.94025652988266,3595,0.0753178643240321,110,2.52578330054902,12
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.NaiveLike,CXCL11,CXCR3,7.023168576476e-05,7684.66666666667,0.827674467757454,22880,0.0752693318658186,112,2.11055550297895,62
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.CM,S100A8,CD69,7.96566862086557e-05,568,0.962955677754799,341,0.0345058319134306,1195,1.76249859000322,168
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),S100A8,CD68,7.9856828542841e-05,773.333333333333,0.957031012803043,1080,0.0344872714135417,1196,2.22396487032563,44
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A9,CD36,9.45917768281142e-05,2265.66666666667,0.92098732442691,6641,0.072603535908944,130,2.34739576244263,26
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL10,SDC4,0.000103514462309219,3551.33333333333,0.901021979564771,10509,0.0720677446621853,136,2.62642825021437,9
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.NaiveLike,VCAN,SELL,0.00011125645430493,3474,0.902775516554338,10163,0.0740807422809423,118,1.81285301408143,141
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,DEFB1,CCR6,0.000114431232124184,8708.66666666667,0.806326805870777,25977,0.172177423156487,6,1.80552625204099,143
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A8,CD68,0.000116127855248139,885.333333333333,0.955998332033633,1236,0.0328165586736454,1355,2.08945805006275,65
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL10,TLR4,0.000120914444866585,4158,0.891453526938264,12321,0.0708762311818116,147,2.71413202062104,6
CD8.TEX,CD8.TEMRA,CLEC2B,KLRF1,0.000132688790256737,5257,0.873196396875568,15578,0.0968215131395435,39,1.79657859055897,154
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEMRA,GNAI2,S1PR5,0.000136153088076317,3487,0.902368272975143,10242,0.0692655189936163,156,2.09584667331061,63
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),S100A9,CD68,0.000136784668053117,749,0.959319370132686,766,0.0321998989728462,1431,2.18607189216395,50
Proliferating TAMs (cycling/MKI67+),CD8.TEMRA,GNAI2,S1PR5,0.000145008618534823,3531.66666666667,0.901701129299867,10367,0.0682275178555522,161,2.08047688668323,67
CD8.MAIT,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.000148628733319021,2167.66666666667,0.923425028951267,6234,0.0679550209190444,163,1.88018386741625,106
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,TNFSF10,CCR6,0.000150455481885,3999.66666666667,0.894354384319178,11810,0.1166160497851,25,1.77696384210154,164
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL2,CCR2,0.000152293357153373,5041.66666666667,0.877280457147159,14886,0.0838768035370753,74,1.77187134202197,165
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),S100A9,CD68,0.000153170435732462,776,0.959130456580683,790,0.0318903445161847,1486,2.17533449335303,52
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL11,CCR5,0.000154142358563996,10012.6666666667,0.77443150852839,29823,0.0674860195729861,166,2.19450539183244,49
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A8,CD68,0.000155657593538364,966,0.955362726012088,1330,0.0318462503012008,1494,2.0510393279261,74
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL9,FCGR2A,0.000163554238145824,1428.33333333333,0.93668200559023,4094,0.0665451216421757,171,2.38507105793162,20
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A8,CD68,0.000165549567539982,986.666666666667,0.955260199150323,1359,0.0316936545499799,1525,2.048412997482,76
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL10,TLR4,0.00018119630956831,4398,0.88770907068388,13007,0.0656729609433912,180,2.67495234257828,7
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),APOE,SDC2,0.000183212135895396,3245.66666666667,0.906096760884832,9519,0.0982498929002893,37,1.74084983993958,181
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRA,LAG3,0.000185868724734863,1014.33333333333,0.962554248484918,380,0.0358434506701868,1078,1.2250314014923,1585
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.NaiveLike,S100A8,CD69,0.000197721579595264,811.333333333333,0.960976827594185,573,0.0309673397292884,1618,1.65735144962661,243
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEMRA,GNAI2,S1PR5,0.000199738917937989,3695.33333333333,0.899534171382017,10819,0.0650024898743923,189,2.03272357493811,78
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DRA,LAG3,0.000202525821594865,1040,0.962440595392943,389,0.0356184447358241,1100,1.21672625021482,1631
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A8,CD68,0.000206651222066085,1067.66666666667,0.954614436957462,1476,0.0307565478085619,1642,2.00999427534535,85
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A9,CD68,0.000217013888888889,878.666666666667,0.958303321153203,903,0.0305848585437545,1669,2.09098336593738,64
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEMRA,GNAI2,S1PR5,0.000219181654909813,3760,0.898580597440579,10998,0.0636507286358018,198,2.01270791113349,84
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,CD36,0.000223624461735251,3080.66666666667,0.908731470293509,8972,0.063604326527843,200,2.06833761699468,70
CD8.TEMRA,CD8.TEX,B2M,CD3D,0.000224679831147129,5722.33333333333,0.971002079282984,1,0.0143938523148029,9200,0.706745521586053,7966
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL11,CCR5,0.000228111694709517,10223,0.769072617469037,30416,0.0635021583351705,202,2.18443450847345,51
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),APOE,TREM2,0.000228120359065128,869,0.953493882675423,1697,0.040598137421055,772,1.82112981898869,138
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A9,CD68,0.000229332330110148,895.666666666667,0.95817268202764,921,0.0303858194328,1700,2.08294827329384,66
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),APOE,TREM2,0.000235456613109586,879.666666666667,0.953389839521265,1715,0.040408273498083,784,1.81672543866416,140
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),C3,ITGAX,0.000237219421179918,2451.66666666667,0.91890166641259,7040,0.0632379409331336,206,1.87437234999654,109
CD8.NaiveLike,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.000241839905713748,2360.33333333333,0.92056145279287,6722,0.0627530638277698,208,1.79839112565962,151
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A9,CD68,0.000242108325039164,908.333333333333,0.958063906971787,935,0.0302215297529816,1731,2.11744894440206,59
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,S100A8,CD69,0.00024336930337153,875,0.960479317274645,620,0.0301613218211401,1734,1.63340043497864,271
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,CXCR3,0.000244166801344816,3399,0.90386179249651,9949,0.0626774315104982,209,2.25721257967338,39
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DRA,LAG3,0.000248884146976601,1101,0.962196245165013,417,0.0351416317955284,1139,1.19912669840108,1747
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL9,FCGR2A,0.000251214094972904,1533,0.934826794020958,4355,0.0625619536575772,212,2.32118220125812,32
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CXCL10,TLR4,0.000255967790735924,4582.66666666667,0.884942441255378,13526,0.0621633445270612,214,2.64852556961729,8
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A9,CD68,0.000281869676426237,958,0.957699537552937,980,0.0296805362895484,1821,2.05256464380073,73
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL9,CXCR3,0.000282906553987669,3648,0.900251789779467,10683,0.0982840435108369,36,1.67964399065369,225
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,CD36,0.000285422098869608,3201,0.907277334895952,9298,0.0614279386484387,226,2.02729256441392,79
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),S100A12,CD36,0.000285422098869608,10341.6666666667,0.765992226091704,30745,0.0902393779375246,54,1.67858873724704,226
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEMRA,GNAI2,S1PR5,0.000293035283115611,3894.33333333333,0.896709623580943,11363,0.0611104304329064,229,1.97509346167225,91
CD8.TPEX,CD8.TEMRA,CLEC2B,KLRF1,0.000295595192530526,5812.66666666667,0.863915252290342,17130,0.0822876314711684,78,1.67505871699036,230
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),Proliferating TAMs (cycling/MKI67+),APOE,TREM2,0.000296511448614872,949.666666666667,0.952759279949836,1852,0.0392847334540327,840,1.79066204765037,157
CD8.EM,CD8.TEMRA,CLEC2B,KLRF1,0.000298166191678326,5832,0.86369053949971,17185,0.0819738837025656,80,1.67243542680243,231
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A9,CD68,0.000298436841637583,977,0.957567090486813,998,0.0294873822964615,1856,2.04452955115719,77
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,ITGB2,0.000298919488727391,971,0.957845507027949,966,0.0294816319108877,1857,1.98798885705437,90
